DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,PCA,RWS,8,0,108027572,6481309,5509729.0,120018610.0,961272504,1285965576
AMM,PCA,RWS,16,0,56052416,6481309,5509729.0,68043454.0,909297348,1013683260
AMM,PCA,RWS,40,0,22980504,6481309,5509729.0,34971542.0,876225436,699081572
AMM,PCA,ROS,1,0,853244932,13117095,5509729.0,871871756.0,1706489864,7981801336
AMM,PCA,ROS,2,0,427288312,13117095,5509729.0,445915136.0,1706489864,3488448376
AMM,PCA,ROS,4,0,213644668,13117095,5509729.0,232271492.0,1706489864,1237764664
AMM,PCA,ROS,8,0,108027572,13117095,5509729.0,126654396.0,1706489864,540748216
AMM,PCA,ROS,16,0,56052416,13117095,5509729.0,74679240.0,1706489864,216490744
AMM,PCA,ROS,40,0,22980504,13117095,5509729.0,41607328.0,1706489864,-131182856
AMM,S_Tree,WS,40,67813060,12784584,6481309,5509729.0,92588682.0,1706489864,287425144
AMM,S_Tree,OS,40,67813060,12784584,29076220,5509729.0,115183593.0,1706489864,287425144
AMM,S_Tree,IS,40,67813060,5976328,29076220,5509729.0,108375337.0,1706489864,287425144
AMM,ST_Tree_Ac,WS,40,67813060,12784584,6481309,5509729.0,92588682.0,1706489864,287425144
AMM,ST_Tree_Ac,OS,40,67813060,12784584,29076220,5509729.0,115183593.0,1706489864,287425144
AMM,ST_Tree_Ac,IS,40,67813060,5976328,29076220,5509729.0,108375337.0,1706489864,287425144
AMM,STIFT,WS,40,67813060,12784584,6481309,5509729.0,92588682.0,1706489864,287425144
AMM,STIFT,OS,40,67813060,12784584,29076220,5509729.0,115183593.0,1706489864,287425144
AMM,STIFT,IS,40,67813060,5976328,29076220,5509729.0,108375337.0,1706489864,287425144
AMM,PCA,WS,40,0,12784584,6481309,5509729.0,24775622.0,1706489864,287425144
AMM,PCA,OS,40,0,12784584,29076220,5509729.0,47370533.0,1706489864,287425144
AMM,PCA,IS,40,0,5976328,29076220,5509729.0,40562277.0,1706489864,287425144
