DPU,total_latency,fps,fps_w,reduction_network,dataflow,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,psum_reduction_latency,soa_latency,b_to_s_latency,vcsel_latency
HSCONNA,41147.733344330954,2.430267523199484e-05,2.771077951081791e-08,PCA,OS,41147.73333332899,4.114773333335251e-05,0.0,0.0,0.0,0.0,8.197400000000011e-07,0.0
SCONNA,68778.66668229534,1.4539392056249544e-05,2.6477851459396928e-08,PCA,OS,68778.66666668872,6.877866666674737e-05,0.0,0.0,0.0,0.0,1.370200000000008e-06,0.0
HQNNA,910764.0200300178,1.0979792547876903e-06,3.11686393876972e-09,S_Tree,OS,910764.0,0.0009107639999992945,3.6430560000021788,2.7500819683813695,0.007000943264694256,0.0002730960000003198,0.0,0.0
ROBIN,1335408.0551145098,7.488347821252666e-07,1.974810925962461e-09,S_Tree,OS,1335408.0,0.0013354080000003664,5.341631999980238,9.535357773670174,0.023056972226930456,0.0,0.0,0.01335407999997043
