DPU,reduction_network,dataflow,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,IS,8.279392945170733e-08,2.673799999998896e-05,0.21334000000013073,0.2978154207005817,0.02924523588493948,0.15019460741211021,0.01021800329390505,0.09001951842985717,0.7908596065154538
AMM,S_Tree,WS,8.279392945170733e-08,5.3335000000034474e-05,0.025492000000002086,1.351952926320841,0.2310523371301749,0.042295407353770784,0.07940500858789883,0.090019518429857,1.820270615616474
AMM,S_Tree,OS,8.279392945170733e-08,5.3335000000034474e-05,0.21334000000013073,0.9492998285220178,0.1642184263174121,0.47925795122286413,0.023620590589376923,0.09001951842985559,1.9198097328755865
AMM,ST_Tree_Ac,IS,8.279392945170733e-08,2.673799999998896e-05,0.21334000000013073,0.2978154207005817,0.02924523588493948,0.15019460741211021,0.01021800329390505,0.019751374486506646,0.7205914625721033
AMM,ST_Tree_Ac,WS,8.279392945170733e-08,5.3335000000034474e-05,0.025492000000002086,1.351952926320841,0.2310523371301749,0.042295407353770784,0.07940500858789883,0.01975137448650671,1.7500024716731237
AMM,ST_Tree_Ac,OS,8.279392945170733e-08,5.3335000000034474e-05,0.21334000000013073,0.9492998285220178,0.1642184263174121,0.47925795122286413,0.023620590589376923,0.019751374486506764,1.8495415889322377
AMM,STIFT,IS,8.279392945170733e-08,2.673799999998896e-05,0.21334000000013073,0.2978154207005817,0.02924523588493948,0.15019460741211021,0.01021800329390505,0.019751374486506646,0.7205914625721033
AMM,STIFT,WS,8.279392945170733e-08,5.3335000000034474e-05,0.025492000000002086,1.351952926320841,0.2310523371301749,0.042295407353770784,0.07940500858789883,0.01975137448650671,1.7500024716731237
AMM,STIFT,OS,8.279392945170733e-08,5.3335000000034474e-05,0.21334000000013073,0.9492998285220178,0.1642184263174121,0.47925795122286413,0.023620590589376923,0.019751374486506764,1.8495415889322377
AMM,PCA,IS,8.279392945170733e-08,2.6737999999985657e-06,0.21334000000013073,0.0,0.02924523588493948,0.15019460741211021,0.01021800329390505,0.0,0.40300060318501496
AMM,PCA,WS,8.279392945170733e-08,5.333499999999566e-06,0.025492000000002086,0.0,0.2310523371301749,0.042295407353770784,0.07940500858789883,0.0,0.37825016936577605
AMM,PCA,OS,8.279392945170733e-08,5.333499999999566e-06,0.21334000000013073,0.0,0.1642184263174121,0.47925795122286413,0.023620590589376923,0.0,0.8804423844237133
MAM,S_Tree,IS,6.307427300931465e-08,1.4710000000002407e-05,0.11662400000003402,0.2162658289273839,0.029245235884936667,0.11332987234498797,0.010218003293904923,0.07216387453892602,0.5578615880644465
MAM,S_Tree,WS,6.307427300931465e-08,2.9155999999986068e-05,0.01820800000000112,1.001929618180753,0.23105233713015924,0.04229540735376976,0.07940500858789883,0.07216387453892537,1.4450834648657804
MAM,S_Tree,OS,6.307427300931465e-08,2.9155999999986068e-05,0.11662400000003402,0.6832483882229113,0.16421842631743783,0.3558624011347785,0.023620590589378137,0.07216387453892607,1.4157668998777388
MAM,ST_Tree_Ac,IS,6.307427300931465e-08,1.4710000000002407e-05,0.11662400000003402,0.2162658289273839,0.029245235884936667,0.11332987234498797,0.010218003293904923,0.01701228072089731,0.5027099942464178
MAM,ST_Tree_Ac,WS,6.307427300931465e-08,2.9155999999986068e-05,0.01820800000000112,1.001929618180753,0.23105233713015924,0.04229540735376976,0.07940500858789883,0.017012280720897385,1.3899318710477524
MAM,ST_Tree_Ac,OS,6.307427300931465e-08,2.9155999999986068e-05,0.11662400000003402,0.6832483882229113,0.16421842631743783,0.3558624011347785,0.023620590589378137,0.01701228072089753,1.3606153060597102
MAM,STIFT,IS,6.307427300931465e-08,1.4710000000002407e-05,0.11662400000003402,0.2162658289273839,0.029245235884936667,0.11332987234498797,0.010218003293904923,0.01701228072089731,0.5027099942464178
MAM,STIFT,WS,6.307427300931465e-08,2.9155999999986068e-05,0.01820800000000112,1.001929618180753,0.23105233713015924,0.04229540735376976,0.07940500858789883,0.017012280720897385,1.3899318710477524
MAM,STIFT,OS,6.307427300931465e-08,2.9155999999986068e-05,0.11662400000003402,0.6832483882229113,0.16421842631743783,0.3558624011347785,0.023620590589378137,0.01701228072089753,1.3606153060597102
MAM,PCA,IS,6.307427300931465e-08,1.4710000000000984e-06,0.11662400000003402,0.0,0.029245235884936667,0.11332987234498797,0.010218003293904923,0.0,0.2694186455981366
MAM,PCA,WS,6.307427300931465e-08,2.915599999998072e-06,0.01820800000000112,0.0,0.23105233713015924,0.04229540735376976,0.07940500858789883,0.0,0.370963731746102
MAM,PCA,OS,6.307427300931465e-08,2.915599999998072e-06,0.11662400000003402,0.0,0.16421842631743783,0.3558624011347785,0.023620590589378137,0.0,0.6603283967159016
AMM,S_Tree,RIS,2.411494471655825e-07,6.623600000006276e-05,0.6213840000005387,0.02648579713887478,0.029245235884946322,4.467811326489182,0.010218003293905039,0.0018149539806751516,5.157025793937568
AMM,S_Tree,RWS,2.0762361057870852e-07,0.0001337490000000525,0.10308400000002048,0.17717793312336774,19.773397779528125,0.04229540735377279,0.07940500858789876,0.0005024707229895841,20.175996555939783
AMM,S_Tree,ROS,2.0762361057870852e-07,0.0001337490000000525,0.5349960000004523,0.06705296657772569,14.404118347565054,0.16021386532613255,0.023620590589335397,0.00349778404470015,15.193633510727011
AMM,ST_Tree_Ac,RIS,2.411494471655825e-07,6.623600000006276e-05,0.6213840000005387,0.0,0.029245235884946322,4.467811326489182,0.010218003293905039,0.00031348295545641924,5.129038525773475
