DPU,total_power,total_dynamic_energy,total_static_power,reduction_network,dataflow,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,soa_energy,b_to_s_energy,vcsel_energy
HSCONNA,877.0116056283225,0.23159270850693192,877.0116000000002,PCA,OS,0.0,5.0996557961816e-05,5.0996557961816e-05,0,0,0,0.0,0.22070099484671823,2.1720119000000028e-07,0.0,0.010789503343100063,0.0
SCONNA,549.1152512334813,0.22239452423601452,549.1152480000002,PCA,OS,0.0,5.0996557960388386e-05,5.0996557960388386e-05,0,0,0,0.0,0.21356496184871768,8.283818760000007e-07,0.0,0.008726740889500028,0.0
HQNNA,352.27051175710983,49.59520829647541,352.2704573026,S_Tree,OS,0.5095531144171676,7.709002159693097e-05,48.88061479964887,0,0,0,0.0024643319073369948,0.0036130696904896537,0.19858389743060575,0.0003019933593457823,0.0,0.0
ROBIN,379.1931532687404,332.1944257186985,379.19290451,S_Tree,OS,2.384142897107872,9.852255641482943e-06,328.68875239375814,0,0,0,0.007771481832622477,0.015503392788319284,1.0899580018632602,0.0,0.0,0.008287699092645854
