DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RIS,1,2.218413045997704e-07,6.915200000006915e-05,0.6504000000005677,0.027960979438948555,0.02924523588494482,4.467811326489956,0.010218003293905039,0.0019254153061847392,5.187630334255812
AMM,S_Tree,RIS,2,1.437056864298704e-07,4.7452000000021575e-05,0.4213200000003387,0.03714068849450416,0.029245235884929034,2.2406169221372543,0.010218003293905039,0.0010196572511058902,2.7396081027677237
AMM,S_Tree,RIS,4,1.0276054871558944e-07,3.575799999999593e-05,0.30127600000021865,0.05451407489225301,0.029245235884929707,1.1203084610685135,0.010218003293905039,0.0005370695805158714,1.5161347054808845
AMM,S_Tree,RIS,8,8.969565121960616e-08,3.208399999998788e-05,0.26297200000018034,0.09699934530115718,0.02924523588493361,0.5668654894246454,0.010218003293905039,0.00031031124543515496,0.9666425588459079
AMM,S_Tree,RIS,16,8.28412187822816e-08,3.0446999999984525e-05,0.24287600000016027,0.1815120243627483,0.029245235884934256,0.29014755483437515,0.010218003293905039,0.00018135858065579534,0.7542107067979975
AMM,S_Tree,RIS,40,6.54404561816372e-08,2.4098999999992113e-05,0.19186000000010925,0.36048271017875305,0.02924523588493218,0.11838448641385575,0.010218003293905039,9.528028709505508e-05,0.7103098804991065
AMM,S_Tree,RWS,1,1.922201695188083e-07,0.0001408889999999714,0.11122000000002862,0.18508313234874502,19.773397779526164,0.04229540735377333,0.07940500858789876,0.000566683655119106,20.192109092691897
AMM,S_Tree,RWS,2,1.269775422988918e-07,9.306900000012159e-05,0.08746800000000486,0.22088105383269632,9.890554360998774,0.04229540735377064,0.07940500858789876,0.0003059864324248963,10.321003013183113
AMM,S_Tree,RWS,4,9.28172558009355e-08,6.803100000006669e-05,0.07509599999999249,0.2853117103610873,4.945279510996081,0.04229540735376851,0.07940500858789876,0.00016543813492011142,5.427621199251004
AMM,S_Tree,RWS,8,8.216996465028246e-08,6.0227000000049587e-05,0.0722079999999896,0.4694787453499352,2.4764952267385216,0.04229540735377119,0.07940500858789876,9.923775597169183e-05,3.140041934956053
AMM,S_Tree,RWS,16,7.61395921636235e-08,5.5807000000039895e-05,0.07098799999998838,0.8130812124598743,1.2427268159051164,0.0422954073537697,0.07940500858789876,5.834452508094701e-05,2.2486106719713206
