DPU,reduction_network,dataflow,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.009708263458689508,0.0009069533395238354,0.03168687048731002,7.409405915795372,6.215711712880732,13.693466639742722
AMM,S_Tree,WS,0.17730707688136993,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.004560652045437863,0.011551108000138272,0.031686870487309726,3.060844328499374,6.2157117128539205,9.529330474905802
AMM,S_Tree,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211475,0.002968889846519729,0.031686870487310635,8.581472467401047,6.215711712880732,15.02417762376445
AMM,ST_Tree_Ac,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.009708263458689508,0.0009069533395238354,0.012917398914175393,7.409405915795372,6.215711712880732,13.674697168169589
AMM,ST_Tree_Ac,WS,0.17730707688136993,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.004560652045437863,0.011551108000138272,0.012917398914175413,3.060844328499374,6.2157117128539205,9.510561003332668
AMM,ST_Tree_Ac,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211475,0.002968889846519729,0.0129173989141756,8.581472467401047,6.215711712880732,15.005408152191315
AMM,STIFT,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.009708263458689508,0.0009069533395238354,0.010448477103362053,7.409405915795372,6.215711712880732,13.672228246358774
AMM,STIFT,WS,0.17730707688136993,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.004560652045437863,0.011551108000138272,0.010448477103362082,3.060844328499374,6.2157117128539205,9.508092081521854
AMM,STIFT,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211475,0.002968889846519729,0.010448477103361963,8.581472467401047,6.215711712880732,15.0029392303805
AMM,PCA,IS,0.0,4.278079999999973e-12,0.00029334249999996877,0.0019583107247802614,0.009708263458689508,0.0009069533395238354,0.0,7.409405915795372,0.4763713689000115,7.898644154722655
AMM,PCA,WS,0.0,8.53360000000726e-12,3.5051499999995116e-05,0.02763367455291509,0.004560652045437863,0.011551108000138272,0.0,3.060844328499374,0.47637136889999904,3.5809961835063975
AMM,PCA,OS,0.0,8.53360000000726e-12,0.00029334249999996877,0.018450053672008422,0.054924725560211475,0.002968889846519729,0.0,8.581472467401047,0.47637136890002113,9.134480847888343
MAM,S_Tree,IS,0.017231880070839395,2.353599999999558e-11,0.00016035800000008347,0.0019583107247808347,0.007367767968453801,0.0009069533395238583,0.025401683837701746,5.855065054997987,4.528811956993115,10.436903965955937
MAM,S_Tree,WS,0.13164642926202916,4.664959999998848e-11,2.5035999999997834e-05,0.02763367455291534,0.004560652045437792,0.011551108000138272,0.025401683837701784,3.0608443285005014,4.528811956993789,7.790474869239162
MAM,S_Tree,OS,0.08523755849454673,4.664959999998848e-11,0.00016035800000008347,0.018450053672003988,0.04069406548131211,0.00296888984651964,0.02540168383770101,7.027131606595027,4.528811956993115,11.728856172966877
MAM,ST_Tree_Ac,IS,0.017231880070839395,2.353599999999558e-11,0.00016035800000008347,0.0019583107247808347,0.007367767968453801,0.0009069533395238583,0.011126031591466941,5.855065054997987,4.528811956993115,10.422628313709701
MAM,ST_Tree_Ac,WS,0.13164642926202916,4.664959999998848e-11,2.5035999999997834e-05,0.02763367455291534,0.004560652045437792,0.011551108000138272,0.011126031591466889,3.0608443285005014,4.528811956993789,7.776199216992928
