DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,GoogLeNet,S_Tree,RIS,1,2.218413045997704e-07,6.915200000006915e-05,0.6504000000005677,0.027960979438948555,0.02924523588494482,4.467811326489956,0.010218003293905039,0.001999758514669268,5.187704677464296
AMM,GoogLeNet,S_Tree,RIS,2,1.437056864298704e-07,4.7452000000021575e-05,0.4213200000003387,0.03714068849450416,0.029245235884929034,2.2406169221372543,0.010218003293905039,0.001101550622738364,2.739689996139356
AMM,GoogLeNet,S_Tree,RIS,4,1.0276054871558944e-07,3.575799999999593e-05,0.30127600000021865,0.05451407489225301,0.029245235884929707,1.1203084610685135,0.010218003293905039,0.0006346392108938251,1.5162322751112625
AMM,GoogLeNet,S_Tree,RIS,8,8.969565121960616e-08,3.208399999998788e-05,0.26297200000018034,0.09699934530115718,0.02924523588493361,0.5668654894246454,0.010218003293905039,0.00041844434179776475,0.9667506919422705
AMM,GoogLeNet,S_Tree,RIS,16,8.28412187822816e-08,3.0446999999984525e-05,0.24287600000016027,0.1815120243627483,0.029245235884934256,0.29014755483437515,0.010218003293905039,0.00030118130826643487,0.7543305295256081
AMM,GoogLeNet,S_Tree,RIS,32,8.029809337161818e-08,2.9711999999985403e-05,0.2354200000001528,0.35380879312715363,0.029245235884938,0.14524246486254155,0.010218003293905039,0.00024214593355682574,0.7742064354003412
AMM,GoogLeNet,S_Tree,RWS,1,1.922201695188083e-07,0.0001408889999999714,0.11122000000002862,0.18508313234874502,19.773397779526164,0.04229540735377333,0.07940500858789876,0.000620089699303388,20.19216249873608
AMM,GoogLeNet,S_Tree,RWS,2,1.269775422988918e-07,9.306900000012159e-05,0.08746800000000486,0.22088105383269632,9.890554360998774,0.04229540735377064,0.07940500858789876,0.0003676243429879439,10.321064651093677
AMM,GoogLeNet,S_Tree,RWS,4,9.28172558009355e-08,6.803100000006669e-05,0.07509599999999249,0.2853117103610873,4.945279510996081,0.04229540735376851,0.07940500858789876,0.00023652615083185778,5.4276922872669155
AMM,GoogLeNet,S_Tree,RWS,8,8.216996465028246e-08,6.0227000000049587e-05,0.0722079999999896,0.4694787453499352,2.4764952267385216,0.04229540735377119,0.07940500858789876,0.00017678730439385582,3.140119484504475
AMM,GoogLeNet,S_Tree,RWS,16,7.61395921636235e-08,5.5807000000039895e-05,0.07098799999998838,0.8130812124598743,1.2427268159051164,0.0422954073537697,0.07940500858789876,0.00014211395005135676,2.248694441396291
AMM,GoogLeNet,S_Tree,RWS,32,7.421314737829264e-08,5.43950000000368e-05,0.07043199999998782,1.5534600021457123,0.623871567086289,0.04229540735377039,0.07940500858789876,0.00012516116597393952,2.36964361555278
AMM,GoogLeNet,S_Tree,ROS,1,1.922201695188083e-07,0.0001408889999999714,0.5635560000004809,0.07486102580039541,14.404118347567705,0.16021386532616538,0.023620590589335397,0.003869842500010496,15.230380753004262
AMM,GoogLeNet,S_Tree,ROS,2,1.269775422988918e-07,9.306900000012159e-05,0.37227600000028965,0.10427869439720569,7.208380725555912,0.16021386532589166,0.02362059058937871,0.0019236002835308617,7.870786672129751
AMM,GoogLeNet,S_Tree,ROS,4,9.28172558009355e-08,6.803100000006669e-05,0.2721240000001895,0.16213632362179764,3.6041926932738364,0.16021386532619766,0.02362059058937126,0.000955682432736512,4.2233112790613845
AMM,GoogLeNet,S_Tree,ROS,8,8.216996465028246e-08,6.0227000000049587e-05,0.2409080000001583,0.3017581162773218,1.8084178984040684,0.16021386532602883,0.023620590589378352,0.0004574530598955374,2.5354362328268163
AMM,GoogLeNet,S_Tree,ROS,16,7.61395921636235e-08,5.5807000000039895e-05,0.22322800000014062,0.5640376104174261,0.9105944231457099,0.160213865326046,0.023620590589378827,0.0002304485189837323,1.8819808211372775
AMM,GoogLeNet,S_Tree,ROS,32,7.421314737829264e-08,5.43950000000368e-05,0.21758000000013497,1.103764698043703,0.45598340731037257,0.16021386532604734,0.023620590589377474,0.00011031440817512361,1.9613273448909578
AMM,GoogLeNet,ST_Tree_Ac,RIS,1,2.218413045997704e-07,6.915200000006915e-05,0.6504000000005677,0.0,0.02924523588494482,4.467811326489956,0.010218003293905039,0.0004322000000003309,5.158176139510679
AMM,GoogLeNet,ST_Tree_Ac,RIS,2,1.437056864298704e-07,4.7452000000021575e-05,0.4213200000003387,0.03714068849450416,0.029245235884929034,2.2406169221372543,0.010218003293905039,0.00029588568853223537,2.73888433120515
AMM,GoogLeNet,ST_Tree_Ac,RIS,4,1.0276054871558944e-07,3.575799999999593e-05,0.30127600000021865,0.05451407489225301,0.029245235884929707,1.1203084610685135,0.010218003293905039,0.00022279909763582331,1.5158204349980045
AMM,GoogLeNet,ST_Tree_Ac,RIS,8,8.969565121960616e-08,3.208399999998788e-05,0.26297200000018034,0.09699934530115718,0.02924523588493361,0.5668654894246454,0.010218003293905039,0.0001970852415346749,0.9665293328420075
AMM,GoogLeNet,ST_Tree_Ac,RIS,16,8.28412187822816e-08,3.0446999999984525e-05,0.24287600000016027,0.1815120243627483,0.029245235884934256,0.29014755483437515,0.010218003293905039,0.00018134081233048163,0.7542106890296721
AMM,GoogLeNet,ST_Tree_Ac,RIS,32,8.029809337161818e-08,2.9711999999985403e-05,0.2354200000001528,0.35380879312715363,0.029245235884938,0.14524246486254155,0.010218003293905039,0.00017655438410323494,0.7741408438508876
AMM,GoogLeNet,ST_Tree_Ac,RWS,1,1.922201695188083e-07,0.0001408889999999714,0.11122000000002862,0.0,19.773397779526164,0.04229540735377333,0.07940500858789876,0.0001737812499999331,20.006633057938032
AMM,GoogLeNet,ST_Tree_Ac,RWS,2,1.269775422988918e-07,9.306900000012159e-05,0.08746800000000486,0.22088105383269632,9.890554360998774,0.04229540735377064,0.07940500858789876,0.0001363178442660825,10.320833344594954
AMM,GoogLeNet,ST_Tree_Ac,RWS,4,9.28172558009355e-08,6.803100000006669e-05,0.07509599999999249,0.2853117103610873,4.945279510996081,0.04229540735376851,0.07940500858789876,0.00011698079881797944,5.4275727419149025
