DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy,total_latency,EDP
AMM,ST_Tree_Ac,ROS,40,0,8.97E-11,0.000308297,0.043745056,0.034439516,0.00296889,4.04E-05,8.96346791,4.868639683,13.91360974,0.931308068,12.95785701
AMM,STIFT,RIS,1,0,9.45E-11,0.001370435,0.001958311,0.288465549,0.000906953,0.00017767,186.8095877,21.73061727,208.8330839,5.504349993,1149.490384
AMM,STIFT,RIS,2,0,5.64E-11,0.000798072,0.001958311,0.144718095,0.000906953,9.00E-05,94.24155112,12.67780601,107.0678286,2.860701825,306.2891326
AMM,STIFT,RIS,4,0,3.89E-11,0.00052047,0.001958311,0.072359047,0.000906953,4.90E-05,47.70834785,8.273649951,56.0577916,1.538412887,86.24002898
AMM,STIFT,RIS,8,0,3.02E-11,0.000385374,0.001958311,0.036664844,0.000906953,2.65E-05,24.69093117,6.083478303,30.81435147,0.886669877,27.32215723
AMM,STIFT,RIS,40,0,2.63E-11,0.000321574,0.001958311,0.007663245,0.000906953,8.33E-06,6.082691552,4.868639683,10.96218965,0.391752032,4.294460072
AMM,STIFT,RWS,1,0,3.62E-10,0.000113603,2.391600046,0.004560652,0.011551108,5.10E-05,186.3480764,21.73061727,210.4865701,19.97804123,4205.109377
AMM,STIFT,RWS,2,0,2.11E-10,7.90E-05,1.196025207,0.004560652,0.011551108,2.63E-05,93.70459118,12.67780601,107.5946394,10.06986481,1083.463473
AMM,STIFT,RWS,4,0,1.38E-10,6.26E-05,0.598012689,0.004560652,0.011551108,1.47E-05,47.20924578,8.273649951,56.09709746,5.112598256,286.8019226
AMM,STIFT,RWS,8,0,1.02E-10,5.53E-05,0.299231528,0.004560652,0.011551108,8.18E-06,24.13517588,6.083478303,30.534061,2.638527243,80.56495178
AMM,STIFT,RWS,40,0,8.97E-11,5.64E-05,0.064031789,0.004560652,0.011551108,2.50E-06,5.816171177,4.868639683,10.76501329,0.693860419,7.469416626
AMM,STIFT,ROS,1,0,3.62E-10,0.001243511,1.653809512,0.034439516,0.00296889,0.000721676,189.4953731,21.73061727,212.9191735,15.63359709,3328.692571
AMM,STIFT,ROS,2,0,2.11E-10,0.000726171,0.827468803,0.034439516,0.00296889,0.000373818,96.85188791,12.67780601,110.3956711,8.060859645,889.8840102
AMM,STIFT,ROS,4,0,1.38E-10,0.000475002,0.413734488,0.034439516,0.00296889,0.000202184,50.35654252,8.273649951,59.08201255,4.273633407,252.4948626
AMM,STIFT,ROS,8,0,1.02E-10,0.000352082,0.207431291,0.034439516,0.00296889,0.000108366,27.28247262,6.083478303,33.61125107,2.388262869,80.2725029
AMM,STIFT,ROS,40,0,8.97E-11,0.000308297,0.043745056,0.034439516,0.00296889,3.27E-05,8.96346791,4.868639683,13.91360202,0.931308068,12.95784982
AMM,PCA,RIS,1,0,9.45E-11,0.001370435,0.001958311,0.288465549,0.000906953,5.98E-19,186.8095877,0.000412823,187.1027018,5.504014173,1029.815923
AMM,PCA,RIS,2,0,5.64E-11,0.000798072,0.001958311,0.144718095,0.000906953,2.99E-19,94.24155112,0.000103325,94.39003587,2.860531692,270.005689
AMM,PCA,RIS,4,0,3.89E-11,0.00052047,0.001958311,0.072359047,0.000906953,1.49E-19,47.70834785,2.59E-05,47.78411852,1.538320231,73.50727623
