DPU,total_latency,fps,fps_w,reduction_network,dataflow,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,psum_reduction_latency,soa_latency,b_to_s_latency,vcsel_latency
HSCONNA,409.6000001189006,0.0024414062492912974,2.7837787120221853e-06,PCA,OS,409.60000000011024,4.096000000000701e-07,0.0,0.0,0.0,0.0,8.160000000000005e-09,0.0
SCONNA,989.8666668821605,0.0010102370687455888,1.8397541597943583e-06,PCA,OS,989.8666666664237,9.898666666663878e-07,0.0,0.0,0.0,0.0,1.9720000000000063e-08,0.0
HQNNA,24128.00053127779,4.1445622429578135e-05,1.1765282800989586e-07,S_Tree,OS,24128.0,2.412799999999208e-05,0.0965120000000139,0.05754929201180474,0.00018610745022634346,7.238399999996761e-06,0.0,0.0
ROBIN,17472.000801291295,5.723442960957817e-05,1.5093737324186737e-07,S_Tree,OS,17472.0,1.7472000000000035e-05,0.06988799999998728,0.04689427720373392,0.00038186195809510276,0.0,0.0,0.00017471999999994832
ROBIN,72384.0022585793,1.3815207349652667e-05,8.642610197698738e-08,S_Tree,OS,72384.0,7.238400000007624e-05,0.2895360000002069,0.22665567313166182,0.0005209434901495946,0.0,0.0,0.000723840000000941
