DPU,CNNModel,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,ShuffleNet_V2,S_Tree,RWS,1,9.174488639493687e-08,6.724500000006497e-05,0.07524399999999264,0.07079340579670705,3.0743233909953136,0.011365705151927509,0.035290416986286065,0.0005886131777305542,3.267672868852844
AMM,ShuffleNet_V2,S_Tree,ROS,1,9.174488639493687e-08,6.724500000006497e-05,0.26898000000018635,0.020306311282338126,1.2725544917983962,0.02013408089690893,0.009977494133934823,0.002382915000002123,1.5944026298566527
AMM,ShuffleNet_V2,S_Tree,RIS,1,9.248572174793592e-08,1.908399999999811e-05,0.2711520000001885,0.012950497248901205,0.007220387810363396,0.9736666483239891,0.006351126990127643,0.000608402482302942,1.2719682393415945
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,1,9.174488639493687e-08,6.724500000006497e-05,0.07524399999999264,0.0,3.0743233909953136,0.011365705151927509,0.035290416986286065,0.00010761375000001113,3.1963984636284066
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,1,9.174488639493687e-08,6.724500000006497e-05,0.26898000000018635,0.0,1.2725544917983962,0.02013408089690893,0.009977494133934823,0.00039955250000024884,1.5721129560743128
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,1,9.248572174793592e-08,1.908399999999811e-05,0.2711520000001885,0.0,0.007220387810363396,0.9736666483239891,0.006351126990127643,0.0001107250000000128,1.2585200646103905
AMM,ShuffleNet_V2,S_Tree,RWS,16,2.371901033500917e-08,1.738500000000014e-05,0.035283999999999885,0.12634191559060273,0.1951492808385737,0.011365705151927306,0.035290416986286065,7.539465015586953e-05,0.4035241219365559
AMM,ShuffleNet_V2,S_Tree,ROS,16,2.371901033500917e-08,1.738500000000014e-05,0.06953999999998693,0.05312161417584643,0.08379225526154062,0.02013408089692632,0.00997749413392781,0.0001410470562726252,0.23672390024351106
AMM,ShuffleNet_V2,S_Tree,RIS,16,2.306276391734175e-08,8.079999999999101e-06,0.06761599999998501,0.040616611496878424,0.007220387810359235,0.06402144888933217,0.006351126990127643,7.394126156141925e-05,0.18590761951100782
AMM,ShuffleNet_V2,ST_Tree_Ac,RWS,16,2.371901033500917e-08,1.738500000000014e-05,0.035283999999999885,0.12634191559060273,0.1951492808385737,0.011365705151927306,0.035290416986286065,3.0497860684980927e-05,0.403479225147085
AMM,ShuffleNet_V2,ST_Tree_Ac,ROS,16,2.371901033500917e-08,1.738500000000014e-05,0.06953999999998693,0.0,0.08379225526154062,0.02013408089692632,0.00997749413392781,4.150664026523722e-05,0.18350274565165725
AMM,ShuffleNet_V2,ST_Tree_Ac,RIS,16,2.306276391734175e-08,8.079999999999101e-06,0.06761599999998501,0.040616611496878424,0.007220387810359235,0.06402144888933217,0.006351126990127643,2.857538662735165e-05,0.18586225363607375
