DPU,reduction_network,dataflow,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,IS,2.402553006699382e-08,7.2029999999990245e-06,0.061907999999980326,0.06942847257279193,0.007220387810359373,0.03325534155290448,0.006351126990127605,0.0440802809124644,0.2222508368641582
AMM,S_Tree,WS,2.402553006699382e-08,1.547700000000242e-05,0.020868000000001472,0.2316773027072126,0.03706914858605081,0.011365705151927424,0.035290416986286065,0.04408028091246423,0.38036635536947266
AMM,S_Tree,OS,2.402553006699382e-08,1.547700000000242e-05,0.061907999999980326,0.09181493246625412,0.01953725942693939,0.04338264722711669,0.009977494133927815,0.04408028091246474,0.27071611519221317
AMM,ST_Tree_Ac,IS,2.402553006699382e-08,7.2029999999990245e-06,0.061907999999980326,0.06942847257279193,0.007220387810359373,0.03325534155290448,0.006351126990127605,0.01258417700912794,0.19075473296082174
AMM,ST_Tree_Ac,WS,2.402553006699382e-08,1.547700000000242e-05,0.020868000000001472,0.2316773027072126,0.03706914858605081,0.011365705151927424,0.035290416986286065,0.012584177009127792,0.3488702514661362
AMM,ST_Tree_Ac,OS,2.402553006699382e-08,1.547700000000242e-05,0.061907999999980326,0.09181493246625412,0.01953725942693939,0.04338264722711669,0.009977494133927815,0.012584177009127883,0.2392200112888763
AMM,STIFT,IS,2.402553006699382e-08,7.2029999999990245e-06,0.061907999999980326,0.06942847257279193,0.007220387810359373,0.03325534155290448,0.006351126990127605,0.01258417700912794,0.19075473296082174
AMM,STIFT,WS,2.402553006699382e-08,1.547700000000242e-05,0.020868000000001472,0.2316773027072126,0.03706914858605081,0.011365705151927424,0.035290416986286065,0.012584177009127792,0.3488702514661362
AMM,STIFT,OS,2.402553006699382e-08,1.547700000000242e-05,0.061907999999980326,0.09181493246625412,0.01953725942693939,0.04338264722711669,0.009977494133927815,0.012584177009127883,0.2392200112888763
AMM,PCA,IS,2.402553006699382e-08,7.20300000000042e-07,0.061907999999980326,0.0,0.007220387810359373,0.03325534155290448,0.006351126990127605,0.0,0.10873560067890184
AMM,PCA,WS,2.402553006699382e-08,1.5477000000001042e-06,0.020868000000001472,0.0,0.03706914858605081,0.011365705151927424,0.035290416986286065,0.0,0.10459484244979585
AMM,PCA,OS,2.402553006699382e-08,1.5477000000001042e-06,0.061907999999980326,0.0,0.01953725942693939,0.04338264722711669,0.009977494133927815,0.0,0.1348069725134943
MAM,S_Tree,IS,2.012553031300263e-08,4.5049999999999645e-06,0.03721199999999847,0.05361363738786445,0.007220387810359766,0.02583886293933891,0.006351126990127661,0.03504579967506427,0.16528633992828384
MAM,S_Tree,WS,2.012553031300263e-08,9.302999999999711e-06,0.014852000000000674,0.19716196855897583,0.03706914858604855,0.011365705151927776,0.035290416986286065,0.03504579967506444,0.33079436208383367
MAM,S_Tree,OS,2.012553031300263e-08,9.302999999999711e-06,0.03721199999999847,0.07348405334752625,0.019537259426936862,0.033805923812126645,0.009977494133927702,0.03504579967506375,0.20907185352111
MAM,ST_Tree_Ac,IS,2.012553031300263e-08,4.5049999999999645e-06,0.03721199999999847,0.05361363738786445,0.007220387810359766,0.02583886293933891,0.006351126990127661,0.011238208932971762,0.14147874918619133
MAM,ST_Tree_Ac,WS,2.012553031300263e-08,9.302999999999711e-06,0.014852000000000674,0.19716196855897583,0.03706914858604855,0.011365705151927776,0.035290416986286065,0.011238208932971817,0.30698677134174107
MAM,ST_Tree_Ac,OS,2.012553031300263e-08,9.302999999999711e-06,0.03721199999999847,0.07348405334752625,0.019537259426936862,0.033805923812126645,0.009977494133927702,0.011238208932971897,0.18526426277901814
MAM,STIFT,IS,2.012553031300263e-08,4.5049999999999645e-06,0.03721199999999847,0.05361363738786445,0.007220387810359766,0.02583886293933891,0.006351126990127661,0.011238208932971762,0.14147874918619133
MAM,STIFT,WS,2.012553031300263e-08,9.302999999999711e-06,0.014852000000000674,0.19716196855897583,0.03706914858604855,0.011365705151927776,0.035290416986286065,0.011238208932971817,0.30698677134174107
MAM,STIFT,OS,2.012553031300263e-08,9.302999999999711e-06,0.03721199999999847,0.07348405334752625,0.019537259426936862,0.033805923812126645,0.009977494133927702,0.011238208932971897,0.18526426277901814
MAM,PCA,IS,2.012553031300263e-08,4.5050000000002183e-07,0.03721199999999847,0.0,0.007220387810359766,0.02583886293933891,0.006351126990127661,0.0,0.07662284836535511
MAM,PCA,WS,2.012553031300263e-08,9.303000000000578e-07,0.014852000000000674,0.0,0.03706914858604855,0.011365705151927776,0.035290416986286065,0.0,0.09857822114979338
MAM,PCA,OS,2.012553031300263e-08,9.303000000000578e-07,0.03721199999999847,0.0,0.019537259426936862,0.033805923812126645,0.009977494133927702,0.0,0.10053362779851999
