DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,IS,1,195921114,23644760,98743400,9584937.0,327894211.0,7470198920,801993080
AMM,ST_Tree_Ac,WS,1,195921114,84252380,14358817,9584937.0,304117248.0,7470198920,801993080
AMM,ST_Tree_Ac,OS,1,195921114,84252380,98743400,9584937.0,388501831.0,7470198920,801993080
AMM,ST_Tree_Ac,IS,1,195921114,23644760,98743400,9584937.0,327894211.0,7470198920,801993080
AMM,STIFT,WS,1,195921114,84252380,14358817,9584937.0,304117248.0,7470198920,801993080
AMM,STIFT,OS,1,195921114,84252380,98743400,9584937.0,388501831.0,7470198920,801993080
AMM,STIFT,IS,1,195921114,23644760,98743400,9584937.0,327894211.0,7470198920,801993080
AMM,PCA,WS,1,0,84252380,14358817,9584937.0,108196134.0,7470198920,801993080
AMM,PCA,OS,1,0,84252380,98743400,9584937.0,192580717.0,7470198920,801993080
AMM,PCA,IS,1,0,23644760,98743400,9584937.0,131973097.0,7470198920,801993080
