DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,ShuffleNet_V2,STIFT,ROS,4,0,213644668,13117095,5509729.0,232271492.0,1706489864,1237764664
AMM,ShuffleNet_V2,STIFT,ROS,8,0,108027572,13117095,5509729.0,126654396.0,1706489864,540748216
AMM,ShuffleNet_V2,STIFT,ROS,16,0,56052416,13117095,5509729.0,74679240.0,1706489864,216490744
AMM,ShuffleNet_V2,STIFT,ROS,32,0,29083944,13117095,5509729.0,47710768.0,1706489864,289481464
AMM,ShuffleNet_V2,PCA,RIS,1,0,5976328,853244932,5509729.0,864730989.0,1706489864,7981801336
AMM,ShuffleNet_V2,PCA,RIS,2,0,5976328,427879208,5509729.0,439365265.0,1281124140,3915314004
AMM,ShuffleNet_V2,PCA,RIS,4,0,5976328,213939604,5509729.0,225425661.0,1067184536,1878117160
AMM,ShuffleNet_V2,PCA,RIS,8,0,5976328,108681264,5509729.0,120167321.0,961926196,1294198988
AMM,ShuffleNet_V2,PCA,RIS,16,0,5976328,56037992,5509729.0,67524049.0,909282924,1011765780
AMM,ShuffleNet_V2,PCA,RIS,32,0,5976328,29076220,5509729.0,40562277.0,882321152,1111593856
AMM,ShuffleNet_V2,PCA,RWS,1,0,853244932,6481309,5509729.0,865235970.0,1706489864,7981801336
AMM,ShuffleNet_V2,PCA,RWS,2,0,427288312,6481309,5509729.0,439279350.0,1280533244,3914404996
AMM,ShuffleNet_V2,PCA,RWS,4,0,213644668,6481309,5509729.0,225635706.0,1066889600,1877364928
AMM,ShuffleNet_V2,PCA,RWS,8,0,108027572,6481309,5509729.0,120018610.0,961272504,1285965576
AMM,ShuffleNet_V2,PCA,RWS,16,0,56052416,6481309,5509729.0,68043454.0,909297348,1013683260
AMM,ShuffleNet_V2,PCA,RWS,32,0,29083944,6481309,5509729.0,41074982.0,882328876,1113642452
AMM,ShuffleNet_V2,PCA,ROS,1,0,853244932,13117095,5509729.0,871871756.0,1706489864,7981801336
AMM,ShuffleNet_V2,PCA,ROS,2,0,427288312,13117095,5509729.0,445915136.0,1706489864,3488448376
AMM,ShuffleNet_V2,PCA,ROS,4,0,213644668,13117095,5509729.0,232271492.0,1706489864,1237764664
AMM,ShuffleNet_V2,PCA,ROS,8,0,108027572,13117095,5509729.0,126654396.0,1706489864,540748216
AMM,ShuffleNet_V2,PCA,ROS,16,0,56052416,13117095,5509729.0,74679240.0,1706489864,216490744
AMM,ShuffleNet_V2,PCA,ROS,32,0,29083944,13117095,5509729.0,47710768.0,1706489864,289481464
AMM,ShuffleNet_V2,S_Tree,WS,32,67813060,12784584,6481309,5509729.0,92588682.0,1706489864,287425144
AMM,ShuffleNet_V2,S_Tree,OS,32,67813060,12784584,29076220,5509729.0,115183593.0,1706489864,287425144
AMM,ShuffleNet_V2,S_Tree,IS,32,67813060,5976328,29076220,5509729.0,108375337.0,1706489864,287425144
AMM,ShuffleNet_V2,ST_Tree_Ac,WS,32,67813060,12784584,6481309,5509729.0,92588682.0,1706489864,287425144
AMM,ShuffleNet_V2,ST_Tree_Ac,OS,32,67813060,12784584,29076220,5509729.0,115183593.0,1706489864,287425144
AMM,ShuffleNet_V2,ST_Tree_Ac,IS,32,67813060,5976328,29076220,5509729.0,108375337.0,1706489864,287425144
AMM,ShuffleNet_V2,STIFT,WS,32,67813060,12784584,6481309,5509729.0,92588682.0,1706489864,287425144
AMM,ShuffleNet_V2,STIFT,OS,32,67813060,12784584,29076220,5509729.0,115183593.0,1706489864,287425144
AMM,ShuffleNet_V2,STIFT,IS,32,67813060,5976328,29076220,5509729.0,108375337.0,1706489864,287425144
AMM,ShuffleNet_V2,PCA,WS,32,0,12784584,6481309,5509729.0,24775622.0,1706489864,287425144
AMM,ShuffleNet_V2,PCA,OS,32,0,12784584,29076220,5509729.0,47370533.0,1706489864,287425144
AMM,ShuffleNet_V2,PCA,IS,32,0,5976328,29076220,5509729.0,40562277.0,1706489864,287425144
