DPU,CNNModel,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,MobileNet_V2,STIFT,RWS,16,14966144,23873392,7439277,2252857.0,48531670.0,391949780,416221996
AMM,MobileNet_V2,STIFT,RWS,32,30789376,12313656,7439277,2252857.0,52795166.0,380390044,450923108
AMM,MobileNet_V2,STIFT,ROS,1,0,368076388,8634105,2252857.0,378963350.0,736152776,3441090232
AMM,MobileNet_V2,STIFT,ROS,2,0,184704168,8634105,2252857.0,195591130.0,736152776,1545522616
AMM,MobileNet_V2,STIFT,ROS,4,0,92352724,8634105,2252857.0,103239686.0,736152776,589418488
AMM,MobileNet_V2,STIFT,ROS,8,0,46842336,8634105,2252857.0,57729298.0,736152776,242019640
AMM,MobileNet_V2,STIFT,ROS,16,0,23873392,8634105,2252857.0,34760354.0,736152776,72019000
AMM,MobileNet_V2,STIFT,ROS,32,0,12313656,8634105,2252857.0,23200618.0,736152776,95160376
AMM,MobileNet_V2,PCA,RIS,1,0,6093400,368076388,2252857.0,376422645.0,736152776,3441090232
AMM,MobileNet_V2,PCA,RIS,2,0,6093400,185492072,2252857.0,193838329.0,553568460,1730180532
AMM,MobileNet_V2,PCA,RIS,4,0,6093400,92746036,2252857.0,101092293.0,460822424,866255656
AMM,MobileNet_V2,PCA,RIS,8,0,6093400,47826896,2252857.0,56173153.0,415903284,576127692
AMM,MobileNet_V2,PCA,RIS,16,0,6093400,24440296,2252857.0,32786553.0,392516684,431804980
AMM,MobileNet_V2,PCA,RIS,32,0,6093400,12972788,2252857.0,21319045.0,381049176,490439976
AMM,MobileNet_V2,PCA,RWS,1,0,368076388,7439277,2252857.0,377768522.0,736152776,3441090232
AMM,MobileNet_V2,PCA,RWS,2,0,184704168,7439277,2252857.0,194396302.0,552780556,1728894836
AMM,MobileNet_V2,PCA,RWS,4,0,92352724,7439277,2252857.0,102044858.0,460429112,865142152
AMM,MobileNet_V2,PCA,RWS,8,0,46842336,7439277,2252857.0,56534470.0,414918724,563253692
AMM,MobileNet_V2,PCA,RWS,16,0,23873392,7439277,2252857.0,33565526.0,391949780,416221996
AMM,MobileNet_V2,PCA,RWS,32,0,12313656,7439277,2252857.0,22005790.0,380390044,450923108
AMM,MobileNet_V2,PCA,ROS,1,0,368076388,8634105,2252857.0,378963350.0,736152776,3441090232
AMM,MobileNet_V2,PCA,ROS,2,0,184704168,8634105,2252857.0,195591130.0,736152776,1545522616
AMM,MobileNet_V2,PCA,ROS,4,0,92352724,8634105,2252857.0,103239686.0,736152776,589418488
AMM,MobileNet_V2,PCA,ROS,8,0,46842336,8634105,2252857.0,57729298.0,736152776,242019640
AMM,MobileNet_V2,PCA,ROS,16,0,23873392,8634105,2252857.0,34760354.0,736152776,72019000
AMM,MobileNet_V2,PCA,ROS,32,0,12313656,8634105,2252857.0,23200618.0,736152776,95160376
AMM,MobileNet_V2,S_Tree,WS,32,28783908,7438744,7439277,2252857.0,45914786.0,736152776,135336376
AMM,MobileNet_V2,S_Tree,OS,32,28783908,7438744,12972788,2252857.0,51448297.0,736152776,135336376
