DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,STIFT,ROS,1,0,1.92E-10,0.000661573,0.100514454,0.002431746,0.001152709,0.000417784,43.41398083,11.0476798,54.5668389
AMM,STIFT,ROS,2,0,9.80E-11,0.00033677,0.05036532,0.002431746,0.001152709,0.000209207,22.24393681,5.578485052,27.87691762
AMM,STIFT,ROS,4,0,5.35E-11,0.000184014,0.025182676,0.002431746,0.001152709,0.000108729,11.62584771,2.992399228,14.64730681
AMM,STIFT,ROS,8,0,3.16E-11,0.000108708,0.012768509,0.002431746,0.001152709,5.72E-05,6.376678036,1.699014131,8.092211031
AMM,STIFT,ROS,40,0,2.49E-11,8.57E-05,0.002738454,0.002431746,0.001152709,2.28E-05,2.149838756,1.203575805,3.359845935
AMM,PCA,RIS,1,0,2.80E-11,0.000666567,0.000471408,0.059444395,0.000594806,1.91E-19,42.70329662,0.000129803,42.7646036
AMM,PCA,RIS,2,0,1.55E-11,0.000339152,0.000471408,0.029841384,0.000594806,9.57E-20,21.56262014,3.25E-05,21.59389941
AMM,PCA,RIS,4,0,1.00E-11,0.000184943,0.000471408,0.014920692,0.000594806,4.78E-20,10.92982182,8.16E-06,10.94600183
AMM,PCA,RIS,8,0,7.68E-12,0.000109489,0.000471408,0.007608805,0.000594806,2.39E-20,5.698482322,2.06E-06,5.707268889
AMM,PCA,RIS,40,0,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,4.78E-21,1.448277781,9.32E-08,1.451060641
AMM,PCA,RWS,1,0,1.92E-10,9.31E-05,0.348094796,0.000997014,0.005047004,1.83E-19,42.72839418,0.000134296,43.08276036
AMM,PCA,RWS,2,0,9.80E-11,5.25E-05,0.174089633,0.000997014,0.005047004,9.17E-20,21.55835016,3.36E-05,21.73856992
AMM,PCA,RWS,4,0,5.35E-11,3.48E-05,0.087044833,0.000997014,0.005047004,4.59E-20,10.94026106,8.44E-06,11.03339314
AMM,PCA,RWS,8,0,3.16E-11,2.68E-05,0.043599374,0.000997014,0.005047004,2.29E-20,5.691091386,2.13E-06,5.740763709
AMM,PCA,RWS,40,0,2.49E-11,2.87E-05,0.009038092,0.000997014,0.005047004,4.59E-21,1.464252106,9.51E-08,1.479363054
AMM,PCA,ROS,1,0,1.92E-11,0.000661573,0.100514454,0.002431746,0.001152709,1.44E-18,43.41398083,0.0017613,43.52050261
AMM,PCA,ROS,2,0,9.80E-12,0.00033677,0.05036532,0.002431746,0.001152709,7.18E-19,22.24393681,0.000440423,22.29866378
AMM,PCA,ROS,4,0,5.35E-12,0.000184014,0.025182676,0.002431746,0.001152709,3.59E-19,11.62584771,0.000110149,11.654909
AMM,PCA,ROS,8,0,3.16E-12,0.000108708,0.012768509,0.002431746,0.001152709,1.80E-19,6.376678036,2.76E-05,6.393167269
AMM,PCA,ROS,40,0,2.49E-12,8.57E-05,0.002738454,0.002431746,0.001152709,3.59E-20,2.149838756,1.14E-06,2.156248487
AMM,S_Tree,WS,1,0.025176919,2.50E-11,2.73E-05,0.00756275,0.000997014,0.005047004,0.012532475,1.321874727,1.203575805,2.576794014
AMM,S_Tree,OS,1,0.007266192,2.50E-11,8.58E-05,0.002407429,0.002776545,0.001152709,0.012532475,2.151007949,1.203575805,3.38080492
AMM,S_Tree,IS,1,0.004282461,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,0.012532475,1.448277781,1.203575805,2.671451289
AMM,ST_Tree_Ac,WS,1,0.025176919,2.50E-11,2.73E-05,0.00756275,0.000997014,0.005047004,0.007387747,1.321874727,1.203575805,2.571649286
AMM,ST_Tree_Ac,OS,1,0.007266192,2.50E-11,8.58E-05,0.002407429,0.002776545,0.001152709,0.007387747,2.151007949,1.203575805,3.375660192
AMM,ST_Tree_Ac,IS,1,0.004282461,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,0.007387747,1.448277781,1.203575805,2.666306561
AMM,STIFT,WS,1,0.025176919,2.50E-11,2.73E-05,0.00756275,0.000997014,0.005047004,0.005975716,1.321874727,1.203575805,2.570237255
AMM,STIFT,OS,1,0.007266192,2.50E-11,8.58E-05,0.002407429,0.002776545,0.001152709,0.005975716,2.151007949,1.203575805,3.37424816
AMM,STIFT,IS,1,0.004282461,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,0.005975716,1.448277781,1.203575805,2.66489453
AMM,PCA,WS,1,0,2.50E-11,2.73E-05,0.00756275,0.000997014,0.005047004,0,1.321874727,0.273833531,1.609342345
AMM,PCA,OS,1,0,2.50E-12,8.58E-05,0.002407429,0.002776545,0.001152709,0,2.151007949,0.273833531,2.431263979
AMM,PCA,IS,1,0,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,0,1.448277781,0.273833531,1.724894079
