DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RIS,1,1.6950767585188306e-07,5.907600000004706e-05,0.3432480000002606,0.023830052102649622,0.029245235884945563,4.467811326495999,0.010218003293905039,0.002064776627613803,4.87647663991305
AMM,S_Tree,RIS,2,9.82611968907271e-08,3.522399999999476e-05,0.19897600000011637,0.028327017292006894,0.029245235884931962,2.240616922137356,0.010218003293905039,0.0010353769050023024,2.5084538777745156
AMM,S_Tree,RIS,4,6.436835320598448e-08,2.4333999999991832e-05,0.13034400000004773,0.03781852521214003,0.029245235884928923,1.120308461069017,0.010218003293905039,0.0005141257634507707,1.3284727495918427
AMM,S_Tree,RIS,8,4.7724158026653654e-08,1.889799999999833e-05,0.09664000000001403,0.05745904618843719,0.029245235884935224,0.566865489424652,0.010218003293905039,0.0002562043731577963,0.7607029248892593
AMM,S_Tree,RIS,40,3.9789226619662456e-08,1.6449000000001258e-05,0.08057199999999796,0.24648170566774197,0.02924523588493578,0.11838448641389171,0.010218003293905039,4.9403689209733834e-05,0.48496732373890883
AMM,S_Tree,RWS,1,1.2533122427474672e-07,6.344800000005664e-05,0.08262000000000001,0.16829721760676042,19.773397779514195,0.0422954073537746,0.07940500858789876,0.0005692489515042005,20.146648235345353
AMM,S_Tree,RWS,2,7.368404564200536e-08,3.730199999999932e-05,0.05742799999998362,0.18538547376634318,9.8905543610002,0.04229540735377081,0.07940500858789876,0.0002868218542087749,10.25539244824645
AMM,S_Tree,RWS,4,4.874540760031919e-08,2.4676999999991422e-05,0.04550399999999238,0.22145844063873787,4.94527951099525,0.0422954073537691,0.07940500858789876,0.00014236315131557553,5.334109456472371
AMM,S_Tree,RWS,8,3.656350020999937e-08,1.8509999999998794e-05,0.040251999999996235,0.29432977392649706,2.476495226738127,0.042295407353770575,0.07940500858789876,7.07904677264215e-05,2.9328667536375157
AMM,S_Tree,RWS,40,3.238961172033733e-08,1.639700000000132e-05,0.04100399999999568,1.1456523486658408,0.5310951156139022,0.04229540735376925,0.07940500858789876,1.381407966620102e-05,1.8394821236906846
AMM,S_Tree,ROS,1,1.2533122427474672e-07,6.344800000005664e-05,0.25379200000017116,0.05764487211679559,14.404118347578116,0.08094280187010146,0.023620590589376392,0.0023005157540462408,14.822482701239831
