DPU,reduction_network,dataflow,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,IS,0.005350940193032321,1.152479999999927e-11,8.512350000001121e-05,0.0004714084984860057,0.002031700020524667,0.0005948060324811726,0.015516258881187506,1.7446054822000787,1.5113916118141084,3.2800473311514233
AMM,S_Tree,WS,0.028978892773489043,2.4763199999995204e-11,2.869349999999684e-05,0.003979683334898426,0.0009970138156961922,0.005047004493428629,0.01551625888118739,0.9575148820998585,1.5113916118145199,2.523454040737841
AMM,S_Tree,OS,0.008611032807719885,2.4763199999995204e-11,8.512350000001121e-05,0.0015706334767429495,0.0034232890316427808,0.0011527086699888755,0.015516258881187668,2.082975805400183,1.5113916118141084,3.6247264636063363
AMM,ST_Tree_Ac,IS,0.005350940193032321,1.152479999999927e-11,8.512350000001121e-05,0.0004714084984860057,0.002031700020524667,0.0005948060324811726,0.008230051763969633,1.7446054822000787,1.5113916118141084,3.2727611240342056
AMM,ST_Tree_Ac,WS,0.028978892773489043,2.4763199999995204e-11,2.869349999999684e-05,0.003979683334898426,0.0009970138156961922,0.005047004493428629,0.008230051763969569,0.9575148820998585,1.5113916118145199,2.5161678336206235
AMM,ST_Tree_Ac,OS,0.008611032807719885,2.4763199999995204e-11,8.512350000001121e-05,0.0015706334767429495,0.0034232890316427808,0.0011527086699888755,0.00823005176396958,2.082975805400183,1.5113916118141084,3.6174402564891186
AMM,STIFT,IS,0.005350940193032321,1.152479999999927e-11,8.512350000001121e-05,0.0004714084984860057,0.002031700020524667,0.0005948060324811726,0.006657029637828613,1.7446054822000787,1.5113916118141084,3.2711881019080646
AMM,STIFT,WS,0.028978892773489043,2.4763199999995204e-11,2.869349999999684e-05,0.003979683334898426,0.0009970138156961922,0.005047004493428629,0.006657029637828576,0.9575148820998585,1.5113916118145199,2.5145948114944825
AMM,STIFT,OS,0.008611032807719885,2.4763199999995204e-11,8.512350000001121e-05,0.0015706334767429495,0.0034232890316427808,0.0011527086699888755,0.006657029637828706,2.082975805400183,1.5113916118141084,3.6158672343629776
AMM,PCA,IS,0.0,1.152480000000054e-12,8.512350000001121e-05,0.0004714084984860057,0.002031700020524667,0.0005948060324811726,0.0,1.7446054822000787,0.2738335313000019,2.021622051552725
AMM,PCA,WS,0.0,2.4763199999998204e-12,2.869349999999684e-05,0.003979683334898426,0.0009970138156961922,0.005047004493428629,0.0,0.9575148820998585,0.27383353129999943,1.2414008085463575
AMM,PCA,OS,0.0,2.4763199999998204e-12,8.512350000001121e-05,0.0015706334767429495,0.0034232890316427808,0.0011527086699888755,0.0,2.082975805400183,0.27383353130001004,2.3630410913810436
MAM,S_Tree,IS,0.004141665641404567,7.208000000000561e-12,5.116649999999074e-05,0.0004714084984860104,0.0015864360157093564,0.0005948060324811783,0.0123361214856225,1.4173006652000555,1.164071064095104,2.600553333476071
MAM,S_Tree,WS,0.0250463042701905,1.488479999999824e-11,2.0421499999999086e-05,0.003979683334898097,0.0009970138156961935,0.005047004493428629,0.012336121485622615,0.9575148821000793,1.164071064095052,2.169012495109852
MAM,S_Tree,OS,0.007035352120699094,1.488479999999824e-11,5.116649999999074e-05,0.0015706334767429519,0.0026811866550340304,0.001152708669988882,0.012336121485622692,1.7556709884001245,1.164071064095104,2.944569221418201
MAM,ST_Tree_Ac,IS,0.004141665641404567,7.208000000000561e-12,5.116649999999074e-05,0.0004714084984860104,0.0015864360157093564,0.0005948060324811783,0.007349788642163596,1.4173006652000555,1.164071064095104,2.595567000632612
MAM,ST_Tree_Ac,WS,0.0250463042701905,1.488479999999824e-11,2.0421499999999086e-05,0.003979683334898097,0.0009970138156961935,0.005047004493428629,0.007349788642163551,0.9575148821000793,1.164071064095052,2.164026162266393
MAM,ST_Tree_Ac,OS,0.007035352120699094,1.488479999999824e-11,5.116649999999074e-05,0.0015706334767429519,0.0026811866550340304,0.001152708669988882,0.007349788642163659,1.7556709884001245,1.164071064095104,2.939582888574742
MAM,STIFT,IS,0.004141665641404567,7.208000000000561e-12,5.116649999999074e-05,0.0004714084984860104,0.0015864360157093564,0.0005948060324811783,0.005945012525542093,1.4173006652000555,1.164071064095104,2.5941622245159905
MAM,STIFT,WS,0.0250463042701905,1.488479999999824e-11,2.0421499999999086e-05,0.003979683334898097,0.0009970138156961935,0.005047004493428629,0.0059450125255420695,0.9575148821000793,1.164071064095052,2.1626213861497714
MAM,STIFT,OS,0.007035352120699094,1.488479999999824e-11,5.116649999999074e-05,0.0015706334767429519,0.0026811866550340304,0.001152708669988882,0.005945012525542299,1.7556709884001245,1.164071064095104,2.9381781124581208
MAM,PCA,IS,0.0,7.207999999999789e-13,5.116649999999074e-05,0.0004714084984860104,0.0015864360157093564,0.0005948060324811783,0.0,1.4173006652000555,0.2738335313000011,1.693838013547454
MAM,PCA,WS,0.0,1.4884800000002053e-12,2.0421499999999086e-05,0.003979683334898097,0.0009970138156961935,0.005047004493428629,0.0,0.9575148821000793,0.27383353129999943,1.24139253654559
MAM,PCA,OS,0.0,1.4884800000002053e-12,5.116649999999074e-05,0.0015706334767429519,0.0026811866550340304,0.001152708669988882,0.0,1.7556709884001245,0.2738335313000042,2.034960215003383
AMM,S_Tree,RIS,0.001006514049480883,3.001599999999359e-11,0.00037105199999966045,0.00047140849848584807,0.05944439540871359,0.0005948060324811762,0.00020484560199747595,42.703296621917566,8.625436390399422,51.39082603393816
