DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,ROS,8,3.90E-08,1.98E-05,0.07906,0.024306137,0.161425378,0.03055435,0.009977494,0.000620006,0.30596317
AMM,ST_Tree_Ac,ROS,8,3.90E-08,1.98E-05,0.07906,0,0.161425378,0.03055435,0.009977494,0.000108114,0.28114514
AMM,STIFT,ROS,8,3.90E-08,1.98E-05,0.07906,0,0.161425378,0.03055435,0.009977494,0.000108114,0.28114514
AMM,PCA,ROS,8,3.90E-08,1.98E-06,0.07906,0,0.161425378,0.03055435,0.009977494,1.18E-08,0.28101925
AMM,S_Tree,OS,1,3.08E-08,1.56E-05,0.062412,0.075923496,0.030275896,0.034895131,0.009977494,0.035603622,0.249103273
AMM,S_Tree,RIS,8,3.93E-08,4.80E-06,0.079628,0.015986705,0.007220388,0.124290091,0.006351127,8.22E-05,0.233563378
AMM,ST_Tree_Ac,OS,1,3.08E-08,1.56E-05,0.062412,0.075923496,0.030275896,0.034895131,0.009977494,0.01129625,0.2247959
AMM,STIFT,OS,1,3.08E-08,1.56E-05,0.062412,0.075923496,0.030275896,0.034895131,0.009977494,0.01129625,0.2247959
AMM,S_Tree,ROS,40,3.08E-08,1.56E-05,0.062312,0.081657459,0.034501519,0.03055435,0.009977494,0.000115979,0.21913441
AMM,ST_Tree_Ac,RIS,8,3.93E-08,4.80E-06,0.079628,0,0.007220388,0.124290091,0.006351127,1.57E-05,0.217510134
AMM,STIFT,RIS,8,3.93E-08,4.80E-06,0.079628,0,0.007220388,0.124290091,0.006351127,1.57E-05,0.217510134
AMM,PCA,RIS,8,3.93E-08,4.80E-06,0.079628,0,0.007220388,0.124290091,0.006351127,1.57E-09,0.21749445
AMM,S_Tree,IS,1,3.08E-08,4.89E-06,0.062412,0.055434763,0.007220388,0.026556491,0.006351127,0.035603622,0.193583313
AMM,ST_Tree_Ac,IS,1,3.08E-08,4.89E-06,0.062412,0.055434763,0.007220388,0.026556491,0.006351127,0.01129625,0.169275941
AMM,STIFT,IS,1,3.08E-08,4.89E-06,0.062412,0.055434763,0.007220388,0.026556491,0.006351127,0.01129625,0.169275941
AMM,S_Tree,RIS,40,3.08E-08,4.89E-06,0.062412,0.0601053,0.007220388,0.026556491,0.006351127,1.53E-05,0.162665535
AMM,ST_Tree_Ac,RWS,40,3.08E-08,1.56E-05,0.020904,0,0.080347209,0.011365705,0.035290417,6.15E-06,0.147929094
AMM,STIFT,RWS,40,3.08E-08,1.56E-05,0.020904,0,0.080347209,0.011365705,0.035290417,6.15E-06,0.147929094
AMM,PCA,RWS,40,3.08E-08,1.56E-05,0.020904,0,0.080347209,0.011365705,0.035290417,3.12E-10,0.147922941
AMM,PCA,OS,1,3.08E-08,1.56E-06,0.062412,0,0.030275896,0.034895131,0.009977494,0,0.137562112
AMM,ST_Tree_Ac,ROS,40,3.08E-08,1.56E-05,0.062312,0,0.034501519,0.03055435,0.009977494,4.31E-05,0.137404046
AMM,STIFT,ROS,40,3.08E-08,1.56E-05,0.062312,0,0.034501519,0.03055435,0.009977494,4.31E-05,0.137404046
AMM,PCA,ROS,40,3.08E-08,1.56E-06,0.062312,0,0.034501519,0.03055435,0.009977494,2.44E-09,0.137346954
AMM,PCA,WS,1,3.08E-08,1.56E-05,0.019868,0,0.06779381,0.011365705,0.035290417,0,0.134333566
AMM,ST_Tree_Ac,RIS,40,3.08E-08,4.89E-06,0.062412,0,0.007220388,0.026556491,0.006351127,6.21E-06,0.102551135
AMM,STIFT,RIS,40,3.08E-08,4.89E-06,0.062412,0,0.007220388,0.026556491,0.006351127,6.21E-06,0.102551135
AMM,PCA,RIS,40,3.08E-08,4.89E-06,0.062412,0,0.007220388,0.026556491,0.006351127,3.25E-10,0.102544928
AMM,PCA,IS,1,3.08E-08,4.89E-06,0.062412,0,0.007220388,0.026556491,0.006351127,0,0.102544928
