DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy,total_latency,EDP
AMM,ST_Tree_Ac,RWS,8,0.009643822,3.16E-11,2.68E-05,0.043599374,0.000997014,0.005047004,1.03E-05,5.691091386,1.699014131,7.449429802,0.525618958,3.915561533
AMM,ST_Tree_Ac,RWS,40,0.02611818,2.49E-11,2.87E-05,0.009038092,0.000997014,0.005047004,4.02E-06,1.464252106,1.203575805,2.709060969,0.35521326,0.962294378
AMM,ST_Tree_Ac,ROS,1,0,1.92E-10,0.000661573,0.100514454,0.002431746,0.001152709,0.000516504,43.41398083,11.0476798,54.56693762,1.79514062,97.95532624
AMM,ST_Tree_Ac,ROS,2,0,9.80E-11,0.00033677,0.05036532,0.002431746,0.001152709,0.000258641,22.24393681,5.578485052,27.87696705,0.923398792,25.7415577
AMM,ST_Tree_Ac,ROS,4,0,5.35E-11,0.000184014,0.025182676,0.002431746,0.001152709,0.000134421,11.62584771,2.992399228,14.6473325,0.493342408,7.226150287
AMM,ST_Tree_Ac,ROS,8,0,3.16E-11,0.000108708,0.012768509,0.002431746,0.001152709,7.07E-05,6.376678036,1.699014131,8.092224545,0.28114514,2.275089604
AMM,ST_Tree_Ac,ROS,40,0,2.49E-11,8.57E-05,0.002738454,0.002431746,0.001152709,2.82E-05,2.149838756,1.203575805,3.359851319,0.137404046,0.461657164
AMM,STIFT,RIS,1,0,2.80E-11,0.000666567,0.000471408,0.059444395,0.000594806,5.59E-05,42.70329662,11.0476798,53.81220954,1.472137635,79.21897891
AMM,STIFT,RIS,2,0.001010395,1.55E-11,0.000339152,0.000471408,0.029841384,0.000594806,2.80E-05,21.56262014,5.578485052,27.17339031,0.761761323,20.69963774
AMM,STIFT,RIS,4,0.001083909,1.00E-11,0.000184943,0.000471408,0.014920692,0.000594806,1.51E-05,10.92982182,2.992399228,13.93949189,0.406280182,5.663339304
AMM,STIFT,RIS,8,0.001245216,7.68E-12,0.000109489,0.000471408,0.007608805,0.000594806,8.30E-06,5.698482322,1.699014131,7.407534475,0.233496839,1.729635888
AMM,STIFT,RIS,40,0.004659598,7.83E-12,8.58E-05,0.000471408,0.001630736,0.000594806,3.28E-06,1.448277781,1.203575805,2.659299234,0.162656435,0.432552133
AMM,STIFT,RWS,1,0,1.92E-10,9.31E-05,0.348094796,0.000997014,0.005047004,5.40E-05,42.72839418,11.0476798,54.1303599,3.188890178,172.615773
AMM,STIFT,RWS,2,0.009433213,9.80E-11,5.25E-05,0.174089633,0.000997014,0.005047004,2.73E-05,21.55835016,5.578485052,27.32648185,1.693627301,46.28087571
AMM,STIFT,RWS,4,0.009500838,5.35E-11,3.48E-05,0.087044833,0.000997014,0.005047004,1.50E-05,10.94026106,2.992399228,14.03529972,0.912682633,12.8097743
AMM,STIFT,RWS,8,0.009643822,3.16E-11,2.68E-05,0.043599374,0.000997014,0.005047004,8.31E-06,5.691091386,1.699014131,7.449427839,0.525618958,3.915560502
AMM,STIFT,RWS,40,0.02611818,2.49E-11,2.87E-05,0.009038092,0.000997014,0.005047004,3.26E-06,1.464252106,1.203575805,2.7090602,0.35521326,0.962294105
AMM,STIFT,ROS,1,0,1.92E-10,0.000661573,0.100514454,0.002431746,0.001152709,0.000417784,43.41398083,11.0476798,54.5668389,1.79514062,97.95514902
AMM,STIFT,ROS,2,0,9.80E-11,0.00033677,0.05036532,0.002431746,0.001152709,0.000209207,22.24393681,5.578485052,27.87691762,0.923398792,25.74151205
AMM,STIFT,ROS,4,0,5.35E-11,0.000184014,0.025182676,0.002431746,0.001152709,0.000108729,11.62584771,2.992399228,14.64730681,0.493342408,7.226137612
AMM,STIFT,ROS,8,0,3.16E-11,0.000108708,0.012768509,0.002431746,0.001152709,5.72E-05,6.376678036,1.699014131,8.092211031,0.28114514,2.275085805
AMM,STIFT,ROS,40,0,2.49E-11,8.57E-05,0.002738454,0.002431746,0.001152709,2.28E-05,2.149838756,1.203575805,3.359845935,0.137404046,0.461656424
AMM,PCA,RIS,1,0,2.80E-11,0.000666567,0.000471408,0.059444395,0.000594806,1.91E-19,42.70329662,0.000129803,42.7646036,1.472031897,62.95086057
AMM,PCA,RIS,2,0,1.55E-11,0.000339152,0.000471408,0.029841384,0.000594806,9.57E-20,21.56262014,3.25E-05,21.59389941,0.748734985,16.16810795
