,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
149,576,64,2916,WS,106350,6612480,0,0.4921124828532236,0.0
150,528,256,144,WS,5334,907104,0,0.49710648148148145,0.0
151,992,128,196,WS,13927,1152704,0,0.49404761904761907,0.0
152,1120,160,187,WS,14608,1660960,0,0.49565508021390375,0.0
153,600,64,64,WS,3008,150600,0,0.490234375,0.0
154,4608,4608,144,WS,74673,139272192,0,0.49973544973544975,0.0
155,1200,64,961,WS,74522,4538400,0,0.49193548387096775,0.0
156,1296,288,100,WS,10417,1804032,0,0.49714285714285716,0.0
157,2304,512,676,WS,101892,37278720,0,0.4986439842209073,0.0
158,928,128,49,WS,4652,268192,0,0.4914965986394558,0.0
159,512,144,144,WS,5156,584704,0,0.4956597222222222,0.0
160,960,320,49,WS,4832,747840,0,0.4968112244897959,0.0
161,480,16,144,WS,4809,133440,0,0.4826388888888889,0.0
162,256,128,784,WS,12947,626944,0,0.26031037414965985,0.0
163,768,128,196,WS,10791,892416,0,0.49404761904761907,0.0
164,832,48,25,WS,2500,80704,0,0.485,0.0
165,576,160,49,WS,2896,222912,0,0.49362244897959184,0.0
166,832,192,25,WS,2506,205504,0,0.494,0.0
167,1280,192,64,WS,6420,812800,0,0.49609375,0.0
168,800,128,64,WS,4012,303200,0,0.4934895833333333,0.0
169,64,80,5329,WS,22108,21376,0,0.007834490523550385,0.0
170,1024,256,196,WS,14414,2394112,0,0.49702380952380953,0.0
171,416,128,196,WS,5863,483392,0,0.49404761904761907,0.0
172,288,32,21609,WS,390727,12057408,0,0.48435836919801933,0.0
173,528,128,9,WS,1059,27456,0,0.48148148148148145,0.0
174,528,32,144,WS,5289,146784,0,0.4826388888888889,0.0
175,800,64,64,WS,4008,200800,0,0.490234375,0.0
176,224,128,784,WS,11347,21952,0,0.010416666666666666,0.0
177,960,160,49,WS,4816,371520,0,0.49362244897959184,0.0
178,736,128,196,WS,10343,855232,0,0.49404761904761907,0.0
179,64,256,3136,WS,13784,62720,0,0.013020833333333334,0.0
180,832,256,25,WS,2508,247104,0,0.495,0.0
181,896,128,49,WS,4492,258944,0,0.4914965986394558,0.0
182,1280,1,1,WS,2561,0,0,0.0,0.0
183,400,32,484,WS,12831,374400,0,0.4834710743801653,0.0
184,800,128,1,WS,1603,3200,0,0.3333333333333333,0.0
185,480,96,144,WS,4827,409920,0,0.49421296296296297,0.0
186,480,128,784,WS,24147,2233920,0,0.49468537414965985,0.0
187,480,128,196,WS,6759,557760,0,0.49404761904761907,0.0
188,192,32,1225,WS,15053,0,0,0.0,0.0
189,24,144,3136,WS,5512,14112,0,0.01171875,0.0
190,320,128,784,WS,16147,1489280,0,0.49468537414965985,0.0
191,512,256,784,WS,25894,4791296,0,0.4973426870748299,0.0
192,160,960,49,WS,1048,13440,0,0.01948051948051948,0.0
193,24,24,3136,WS,4924,0,0,0.0,0.0
194,576,128,196,WS,8103,669312,0,0.49404761904761907,0.0
195,704,128,196,WS,9895,818048,0,0.49404761904761907,0.0
196,768,128,49,WS,3852,221952,0,0.4914965986394558,0.0
197,896,128,187,WS,11684,993664,0,0.4942067736185383,0.0
198,1728,192,225,WS,27723,3860352,0,0.49644444444444447,0.0
199,288,128,196,WS,4071,334656,0,0.49404761904761907,0.0
200,864,96,1089,WS,60687,5584896,0,0.4946434037343128,0.0
201,288,64,21025,WS,381638,23841792,0,0.49217598097502974,0.0
202,464,464,49,WS,2364,497872,0,0.4976808905380334,0.0
203,288,48,1225,WS,22618,1388736,0,0.49204081632653063,0.0
204,4608,4608,676,WS,234915,653921280,0,0.49982389405466326,0.0
205,576,128,49,WS,2892,166464,0,0.4914965986394558,0.0
206,512,32,144,WS,5129,142336,0,0.4826388888888889,0.0
207,232,232,784,WS,11894,56840,0,0.013020833333333334,0.0
208,224,128,3136,WS,44716,87808,0,0.010416666666666666,0.0
209,4608,512,25,WS,13848,2750976,0,0.4975,0.0
210,192,48,1225,WS,15130,14784,0,0.007857142857142858,0.0
211,256,512,3136,WS,52784,10185472,0,0.26431627338435376,0.0
212,320,1280,49,WS,2040,938880,0,0.4989795918367347,0.0
213,160,160,49,WS,816,1920,0,0.015306122448979591,0.0
214,832,128,25,WS,2502,122304,0,0.49,0.0
215,464,464,196,WS,6639,1994272,0,0.49837662337662336,0.0
216,384,128,784,WS,19347,1787136,0,0.49468537414965985,0.0
217,864,208,100,WS,6947,857088,0,0.496,0.0
218,512,128,784,WS,25747,2382848,0,0.49468537414965985,0.0
219,256,128,676,WS,11393,540928,0,0.2604783037475345,0.0
220,768,128,289,WS,15417,1316352,0,0.4942329873125721,0.0
221,544,128,196,WS,7655,632128,0,0.49404761904761907,0.0
222,192,32,676,WS,8491,0,0,0.0,0.0
223,512,24,144,WS,5129,142336,0,0.4826388888888889,0.0
