name,Model_Name,Dataflow,Reduction_Type,Total_Latency,VDP Latency,FPS,Total_Dynamic_Energy,Total_Static_Power,Total_Power,Total_Area,fps_per_W,Config,Reduction_Latency,Reduction_Energy,Adder Reduction Latency,Adder Reduction Energy,Output_Access_Latency,Output_Access_Energy,Input_Access_Latency,Input_Access_Energy,Weight_Access_Latency,Weight_Access_Energy,Reduction_Network_Latency
AMM,MobileNet_V2,OS,ST_Tree_Ac,21.94971087,12.02413012,0.045558687,2.038463492,1472.924211,1473.01708,12471.86478,3.09288E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'ST_Tree_Ac'}]",1108186814,4958447.027,0.059510391,1767.535967,1109.76,122.88,1109.76,122.88,1109.76,122.88,0.059510391
AMM,GoogLeNet,IS,STIFT,2.812126307,4.041113076,0.355602804,0.478256405,1472.924211,1473.09428,12471.86477,0.000241399,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'STIFT'}]",148907710.6,255474.1353,0.020000467,594.0398712,887.808,98.304,26.877,2.976,887.808,98.304,0.020000467
AMM,ResNet50,IS,STIFT,7.624222838,10.61949389,0.131160909,1.648741349,1472.924211,1473.140461,12471.86477,8.90349E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'STIFT'}]",387335131.5,646105.9633,0.052558499,1561.055744,1775.616,196.608,26.877,2.976,1775.616,196.608,0.052558499
AMM,ShuffleNet_V2,IS,STIFT,14.85785933,11.60292734,0.067304447,1.923318264,1472.924211,1473.053658,12471.86477,4.56904E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'STIFT'}]",422049367.8,698798.7375,0.057425754,1705.619549,887.808,98.304,26.877,2.976,887.808,98.304,0.057425754
AMM,MobileNet_V2,IS,STIFT,21.94971087,12.02413012,0.045558687,2.035606529,1472.924211,1473.01695,12471.86477,3.09288E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'STIFT'}]",437415604.2,724782.5857,0.059510391,1767.535967,1109.76,122.88,26.877,2.976,1109.76,122.88,0.059510391
AMM,GoogLeNet,WS,STIFT,0.016130681,0.004037076,61.99366192,0.488826317,1472.924211,1503.228344,12471.86477,0.041240349,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'STIFT'}]",675976463.2,3582140.818,0.020000467,594.0398712,887.808,98.304,887.808,98.304,27522.048,3047.424,0.020000467
AMM,ResNet50,WS,STIFT,0.043126045,0.010608885,23.18784396,1.676516733,1472.924211,1511.799019,12471.86477,0.015337914,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'STIFT'}]",1817454919,9672503.043,0.052558499,1561.055744,1775.616,196.608,1775.616,196.608,55044.096,6094.848,0.052558499
AMM,ShuffleNet_V2,WS,STIFT,0.082292655,0.011591336,12.15175278,1.953665291,1472.924211,1496.664668,12471.86477,0.008119222,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'STIFT'}]",1933293570,10237223.68,0.057425754,1705.619549,887.808,98.304,887.808,98.304,27522.048,3047.424,0.057425754
AMM,MobileNet_V2,WS,STIFT,0.120483928,0.012012118,8.299862186,2.067054679,1472.924211,1490.08048,12471.86477,0.005570076,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'STIFT'}]",1975528542,10432793.24,0.059510391,1767.535967,1109.76,122.88,1109.76,122.88,34402.56,3809.28,0.059510391
AMM,GoogLeNet,OS,STIFT,2.812126307,4.041113076,0.355602804,0.479229775,1472.924211,1473.094626,12471.86477,0.000241398,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'STIFT'}]",474649914.5,2311440.709,0.020000467,594.0398712,887.808,98.304,887.808,98.304,887.808,98.304,0.020000467
AMM,ResNet50,OS,STIFT,7.624222838,10.61949389,0.131160909,1.651282057,1472.924211,1473.140794,12471.86477,8.90349E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'STIFT'}]",1030004485,4702401.682,0.052558499,1561.055744,1775.616,196.608,1775.616,196.608,1775.616,196.608,0.052558499
AMM,ShuffleNet_V2,OS,STIFT,14.85785933,11.60292734,0.067304447,1.926080801,1472.924211,1473.053844,12471.86477,4.56904E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'STIFT'}]",1075911951,4825742.063,0.057425754,1705.619549,887.808,98.304,887.808,98.304,887.808,98.304,0.057425754
AMM,MobileNet_V2,OS,STIFT,21.94971087,12.02413012,0.045558687,2.038463492,1472.924211,1473.01708,12471.86477,3.09288E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'STIFT'}]",1108186814,4958447.027,0.059510391,1767.535967,1109.76,122.88,1109.76,122.88,1109.76,122.88,0.059510391
AMM,GoogLeNet,IS,PCA,2.724622435,4.037479708,0.36702333,0.478255805,1472.924211,1473.099742,12471.86475,0.00024915,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'PCA'}]",0,0,0,0,887.808,98.304,26.877,2.976,887.808,98.304,0
AMM,ResNet50,IS,PCA,7.347287655,10.60994589,0.136104648,1.648739773,1472.924211,1473.148612,12471.86475,9.23903E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'PCA'}]",0,0,0,0,1775.616,196.608,26.877,2.976,1775.616,196.608,0
AMM,ShuffleNet_V2,IS,PCA,14.25864172,11.59249513,0.070132907,1.923316542,1472.924211,1473.059098,12471.86475,4.76104E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'PCA'}]",0,0,0,0,887.808,98.304,26.877,2.976,887.808,98.304,0
AMM,MobileNet_V2,IS,PCA,21.03555034,12.01331921,0.047538571,2.035604744,1472.924211,1473.02098,12471.86475,3.22728E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'PCA'}]",0,0,0,0,1109.76,122.88,26.877,2.976,1109.76,122.88,0
AMM,GoogLeNet,WS,PCA,0.000276449,0.000403708,3617.306351,0.478246064,1472.924211,3202.886735,12471.86475,1.129389407,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'PCA'}]",0,0,0,0,887.808,98.304,887.808,98.304,27522.048,3047.424,0
AMM,ResNet50,WS,PCA,0.000735305,0.001060889,1359.979502,1.648713271,1472.924211,3715.140465,12471.86475,0.366064087,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'PCA'}]",0,0,0,0,1775.616,196.608,1775.616,196.608,55044.096,6094.848,0
AMM,ShuffleNet_V2,WS,PCA,0.001397919,0.001159134,715.3489272,1.92328705,1472.924211,2848.745539,12471.86475,0.251110153,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'PCA'}]",0,0,0,0,887.808,98.304,887.808,98.304,27522.048,3047.424,0
AMM,MobileNet_V2,WS,PCA,0.00204352,0.001201212,489.3517787,2.035573665,1472.924211,2469.035804,12471.86475,0.198195497,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'WS', 'reduction_type': 'PCA'}]",0,0,0,0,1109.76,122.88,1109.76,122.88,34402.56,3809.28,0
AMM,GoogLeNet,OS,PCA,2.724622435,4.037479708,0.36702333,0.479229176,1472.924211,1473.100099,12471.86475,0.00024915,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'PCA'}]",0,0,0,0,887.808,98.304,887.808,98.304,887.808,98.304,0
AMM,ResNet50,OS,PCA,7.347287655,10.60994589,0.136104648,1.65128048,1472.924211,1473.148958,12471.86475,9.23903E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'PCA'}]",0,0,0,0,1775.616,196.608,1775.616,196.608,1775.616,196.608,0
AMM,ShuffleNet_V2,OS,PCA,14.25864172,11.59249513,0.070132907,1.926079079,1472.924211,1473.059292,12471.86475,4.76104E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'PCA'}]",0,0,0,0,887.808,98.304,887.808,98.304,887.808,98.304,0
AMM,MobileNet_V2,OS,PCA,21.03555034,12.01331921,0.047538571,2.038461707,1472.924211,1473.021116,12471.86475,3.22728E-05,"[{'element_size': 31, 'element_count': 31, 'units_count': 98, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 10, 'batch_size': 1, 'dataflow': 'OS', 'reduction_type': 'PCA'}]",0,0,0,0,1109.76,122.88,1109.76,122.88,1109.76,122.88,0
MAM,GoogLeNet,IS,S_Tree,2.818272515,2.074488416,0.35482729,0.478035698,1350.874586,1351.044206,12510.68578,0.000262632,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",108132914.6,183853.5294,0.019497101,559.3484199,887.808,98.304,38.148,4.224,887.808,98.304,0.019497101
MAM,ResNet50,IS,S_Tree,7.719264181,5.504868369,0.129546026,1.647997354,1350.874586,1351.088078,12510.68578,9.58827E-05,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",284495567.3,472292.6195,0.058422006,1676.057259,1775.616,196.608,38.148,4.224,1775.616,196.608,0.058422006
MAM,ShuffleNet_V2,IS,S_Tree,15.30293455,6.038883851,0.065346944,1.922469506,1350.874586,1351.000214,12510.68578,4.83693E-05,"[{'element_size': 44, 'element_count': 44, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAM', 'accelerator_type': 'DIGITAL', 'precision': 1, 'bitrate': 1, 'batch_size': 1, 'dataflow': 'IS', 'reduction_type': 'S_Tree'}]",311302386,513318.1687,0.066184002,1898.73961,887.808,98.304,38.148,4.224,887.808,98.304,0.066184002
