C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
64,80,5329,WS,48416,1688704,0,0.015473119,0
64,384,196,WS,7360,318656,0,0.016538451,0
64,64,196,WS,1920,52416,0,0.016322545,0
64,64,3136,WS,25344,790272,0,0.015380859,0
64,256,3136,WS,63744,3198720,0,0.015563965,0
64,64,64,WS,25344,790272,0,0.015380859,0
64,128,3136,RIS,38144,1580544,0,0.015380859,0
64,64,2916,RIS,23680,737856,0,0.015444155,0
64,80,5329,RIS,48416,3372064,0,0.030897272,0
64,384,196,RIS,7360,314496,0,0.016322545,0
64,64,196,RIS,1920,52416,0,0.016322545,0
64,64,3136,RIS,25344,790272,0,0.015380859,0
64,256,3136,RIS,63744,3161088,0,0.015380859,0
64,64,64,RIS,25344,790272,0,0.015380859,0
64,128,3136,ROS,38144,78650880,0,0.058875451,0
64,64,2916,ROS,23680,34140480,0,0.058860117,0
64,80,5329,ROS,48416,142364160,0,0.060484935,0
64,384,196,ROS,7360,973440,0,0.03333421,0
64,64,196,ROS,1920,162240,0,0.03333421,0
64,64,3136,ROS,25344,39325440,0,0.058875451,0
64,256,3136,ROS,63744,157301760,0,0.058875451,0
64,64,64,ROS,25344,39325440,0,0.058875451,0
64,128,3136,RWS,38144,1593088,0,0.01550293,0
64,64,2916,RWS,23680,737856,0,0.015444155,0
64,80,5329,RWS,48416,1688704,0,0.015473119,0
64,384,196,RWS,7360,318656,0,0.016538451,0
64,64,196,RWS,1920,52416,0,0.016322545,0
64,64,3136,RWS,25344,790272,0,0.015380859,0
64,256,3136,RWS,63744,3198720,0,0.015563965,0
64,64,64,RWS,25344,790272,0,0.015380859,0
96,96,196,IS,3072,118560,0,0.016408907,0
96,576,196,IS,12192,711360,0,0.016408907,0
96,128,3136,IS,44672,2383360,0,0.01546224,0
96,24,3136,IS,23712,446880,0,0.01546224,0
96,96,196,OS,3072,243360,0,0.026722466,0
96,576,196,OS,12192,22794048,0,0.417155085,0
96,128,3136,OS,44672,78650880,0,0.057224737,0
96,24,3136,OS,23712,14747040,0,0.057224737,0
96,96,196,WS,3072,118560,0,0.016408907,0
96,576,196,WS,12192,717600,0,0.016552845,0
96,128,3136,WS,44672,2389632,0,0.01550293,0
96,24,3136,WS,23712,432768,0,0.014973958,0
96,96,196,RIS,3072,118560,0,0.016408907,0
96,576,196,RIS,12192,711360,0,0.016408907,0
96,128,3136,RIS,44672,2383360,0,0.01546224,0
96,24,3136,RIS,23712,446880,0,0.01546224,0
96,96,196,ROS,3072,243360,0,0.026722466,0
96,576,196,ROS,12192,22794048,0,0.417155085,0
96,128,3136,ROS,44672,78650880,0,0.057224737,0
96,24,3136,ROS,23712,14747040,0,0.057224737,0
96,96,196,RWS,3072,118560,0,0.016408907,0
96,576,196,RWS,12192,717600,0,0.016552845,0
96,128,3136,RWS,44672,2389632,0,0.01550293,0
96,24,3136,RWS,23712,432768,0,0.014973958,0
