,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
97,576,160,49,WS,2904,335808,0,0.4957482993197279,0.0
98,800,96,484,WS,25724,3072000,0,0.49586776859504134,0.0
99,192,128,784,WS,9845,37632,0,0.0125,0.0
100,512,128,196,WS,7233,996352,0,0.49642857142857144,0.0
101,27,24,49284,WS,86295,0,0,0.0,0.0
102,224,128,784,WS,11445,43904,0,0.0125,0.0
103,16,16,12544,WS,13344,0,0,0.0,0.0
104,1152,1,1,WS,2305,0,0,0.0,0.0
105,160,128,784,WS,8245,31360,0,0.0125,0.0
106,864,128,49,WS,4340,419040,0,0.49489795918367346,0.0
107,480,192,144,WS,4863,962880,0,0.4975198412698413,0.0
108,256,256,676,WS,11651,1645312,0,0.26409434582511504,0.0
109,512,112,144,WS,5156,584704,0,0.4956597222222222,0.0
110,600,64,64,WS,3012,227400,0,0.4934895833333333,0.0
111,640,128,196,WS,9025,1245440,0,0.49642857142857144,0.0
112,704,128,49,WS,3540,341440,0,0.49489795918367346,0.0
113,400,32,484,WS,12862,761600,0,0.49173553719008267,0.0
114,480,64,144,WS,4827,409920,0,0.49421296296296297,0.0
115,768,128,49,WS,3860,372480,0,0.49489795918367346,0.0
116,640,128,49,WS,3220,310400,0,0.49489795918367346,0.0
117,128,128,784,WS,6645,25088,0,0.0125,0.0
118,512,1024,784,WS,28290,27269120,0,0.4995123049219688,0.0
119,768,160,289,WS,15474,2648064,0,0.497116493656286,0.0
120,1120,160,187,WS,14632,2498720,0,0.4971033868092692,0.0
121,1200,64,961,WS,74583,6844800,0,0.4946236559139785,0.0
122,512,2048,49,WS,4876,3357184,0,0.4993146512336278,0.0
123,1152,256,100,WS,9279,2064384,0,0.49777777777777776,0.0
124,1152,256,2916,WS,213615,60254208,0,0.49824721841182745,0.0
125,528,160,144,WS,5334,907104,0,0.49710648148148145,0.0
126,1280,1,1,WS,2561,0,0,0.0,0.0
127,192,32,676,WS,8534,8256,0,0.007951183431952663,0.0
128,832,128,49,WS,4180,403520,0,0.49489795918367346,0.0
129,832,384,25,WS,2522,538304,0,0.4976923076923077,0.0
130,576,576,49284,WS,1834347,1076952384,31943808,0.49917689738102256,0.014806235823305525
131,704,128,196,WS,9921,1369984,0,0.49642857142857144,0.0
132,800,128,49,WS,4020,388000,0,0.49489795918367346,0.0
133,384,128,196,WS,5441,747264,0,0.49642857142857144,0.0
134,1008,224,100,WS,8120,1604736,0,0.4975,0.0
135,576,192,2704,WS,99103,21707136,0,0.4977546491969569,0.0
136,2304,2304,2916,WS,446877,1007336448,0,0.499785093735711,0.0
137,1152,192,576,WS,42876,9247104,0,0.4977058531746032,0.0
138,2592,384,1089,WS,182337,73208448,0,0.498763862400226,0.0
139,672,128,196,WS,9473,1307712,0,0.49642857142857144,0.0
140,896,192,187,WS,11732,2334080,0,0.4975171886936593,0.0
141,512,128,9,WS,1029,45056,0,0.4888888888888889,0.0
142,4608,4608,676,WS,250631,928028160,0,0.49986845240459077,0.0
143,128,512,784,WS,7361,100352,0,0.014705882352941176,0.0
144,1200,128,1,WS,2405,9600,0,0.4,0.0
145,256,128,3136,WS,51412,4214528,0,0.26248405612244896,0.0
146,256,48,1225,WS,20122,646656,0,0.2577551020408163,0.0
147,544,128,49,WS,2740,263840,0,0.49489795918367346,0.0
148,416,128,196,WS,5889,809536,0,0.49642857142857144,0.0
149,896,128,187,WS,11708,1663872,0,0.496524064171123,0.0
150,288,128,784,WS,14645,2243520,0,0.4968112244897959,0.0
151,192,64,1225,WS,15207,29568,0,0.010476190476190476,0.0
152,96,96,196,WS,1396,3744,0,0.012436224489795918,0.0
153,4608,512,144,WS,50841,22510080,0,0.4988766339869281,0.0
154,1728,320,225,WS,27813,8525952,0,0.4983838383838384,0.0
155,1728,384,9,WS,3469,400896,0,0.49572649572649574,0.0
156,2304,512,676,WS,104411,52851456,0,0.49902105812739295,0.0
157,512,24,144,WS,5129,142336,0,0.4826388888888889,0.0
158,832,192,25,WS,2510,288704,0,0.4957142857142857,0.0
159,1152,384,48,WS,4647,1433088,0,0.4983974358974359,0.0
160,256,64,1225,WS,20199,979968,0,0.26040816326530614,0.0
161,736,128,49,WS,3700,356960,0,0.49489795918367346,0.0
162,160,128,3136,WS,32500,125440,0,0.0125,0.0
163,1024,512,196,WS,15581,6808576,0,0.49887454981992796,0.0
164,480,480,144,WS,4944,2207040,0,0.4989149305555556,0.0
165,96,24,3136,WS,19108,0,0,0.0,0.0
166,400,48,64,WS,2008,100400,0,0.490234375,0.0
167,320,128,784,WS,16245,2492800,0,0.4968112244897959,0.0
168,928,128,49,WS,4660,450080,0,0.49489795918367346,0.0
169,800,128,1,WS,1605,6400,0,0.4,0.0
170,192,48,1225,WS,15130,14784,0,0.007857142857142858,0.0
171,384,64,196,WS,5415,446208,0,0.49404761904761907,0.0
172,224,128,3136,WS,45108,175616,0,0.0125,0.0
173,512,32,144,WS,5138,289792,0,0.4913194444444444,0.0
174,896,128,196,WS,12609,1743616,0,0.49642857142857144,0.0
175,147,64,50176,WS,470547,921984,0,0.010416666666666666,0.0
176,480,96,144,WS,4836,548160,0,0.4956597222222222,0.0
177,232,232,196,WS,3352,21112,0,0.014508928571428572,0.0
178,512,160,144,WS,5174,879616,0,0.49710648148148145,0.0
179,480,128,784,WS,24245,3739200,0,0.4968112244897959,0.0
180,480,128,196,WS,6785,934080,0,0.49642857142857144,0.0
181,192,128,3136,WS,38804,150528,0,0.0125,0.0
182,832,32,25,WS,2500,80704,0,0.485,0.0
183,576,64,2916,WS,106533,9971712,0,0.4947416552354824,0.0
184,528,128,9,WS,1061,46464,0,0.4888888888888889,0.0
185,1152,32,2916,WS,212334,13224960,0,0.4921124828532236,0.0
186,192,64,676,WS,8577,16512,0,0.010601577909270217,0.0
187,832,128,196,WS,11713,1619072,0,0.49642857142857144,0.0
188,960,128,49,WS,4820,465600,0,0.49489795918367346,0.0
189,960,160,49,WS,4824,559680,0,0.4957482993197279,0.0
190,1152,128,12100,WS,877001,138518784,3488256,0.49686776859504134,0.012512396694214877
191,576,128,196,WS,8129,1120896,0,0.49642857142857144,0.0
192,147,147,47524,WS,451739,1746948,0,0.01250315629997475,0.0
193,320,1280,49,WS,2408,1314880,0,0.4991496598639456,0.0
194,256,128,784,WS,13045,1053440,0,0.2624362244897959,0.0
195,1152,128,676,WS,50903,7736832,0,0.4967455621301775,0.0
196,832,128,25,WS,2506,205504,0,0.494,0.0
197,147,147,50176,WS,476819,1843968,0,0.0125,0.0
198,1280,320,64,WS,6444,1795840,0,0.4982244318181818,0.0
199,2304,256,144,WS,23121,5948928,0,0.498070987654321,0.0
200,27,32,88209,WS,159933,148878,0,0.007813828520899228,0.0
201,832,832,25,WS,3382,1119872,0,0.4985185185185185,0.0
202,512,256,784,WS,26041,7199744,0,0.49822845804988664,0.0
203,96,128,3136,WS,19892,75264,0,0.0125,0.0
204,192,16,676,WS,8491,0,0,0.0,0.0
205,1024,256,196,WS,14453,3598336,0,0.498015873015873,0.0
206,1152,32,25,WS,3460,111744,0,0.485,0.0
207,352,128,784,WS,17845,2742080,0,0.4968112244897959,0.0
208,576,128,12100,WS,440393,69259392,0,0.49686776859504134,0.0
209,256,128,196,WS,3649,263936,0,0.26301020408163267,0.0
