DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_energy,edp
AMM,STIFT,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,9.93E-05,1.258508603,51.68104874,65.04104442
AMM,STIFT,RIS,2,5.19E-08,1.23E-05,0.152064,0.013886968,0.007220388,0.48849763,0.006351127,5.09E-05,0.668083341,26.37282857,17.61924743
AMM,STIFT,RIS,4,3.14E-08,8.80E-06,0.092168,0.015730787,0.007220388,0.244248815,0.006351127,2.61E-05,0.365754024,13.65329782,4.993748616
AMM,STIFT,RIS,8,2.59E-08,8.41E-06,0.075912,0.023974077,0.007220388,0.124290091,0.006351127,1.45E-05,0.237770573,7.755049976,1.843922676
AMM,STIFT,RIS,16,2.31E-08,8.08E-06,0.067616,0.040616611,0.007220388,0.064021449,0.006351127,8.04E-06,0.18584172,4.775831111,0.88754867
AMM,STIFT,RIS,40,1.96E-08,7.20E-06,0.057372,0.084095743,0.007220388,0.026556491,0.006351127,3.89E-06,0.181606866,3.142711588,0.570738002
AMM,STIFT,RWS,1,9.17E-08,6.72E-05,0.075244,0,3.074323391,0.011365705,0.035290417,9.56E-05,3.196386463,51.99950319,166.2105081
AMM,STIFT,RWS,2,5.17E-08,3.79E-05,0.04966,0.071687383,1.537891286,0.011365705,0.035290417,4.92E-05,1.705981994,26.52606058,45.25298173
AMM,STIFT,RWS,4,3.16E-08,2.32E-05,0.036496,0.073454933,0.768946087,0.011365705,0.035290417,2.53E-05,0.925601653,13.74916868,12.72625325
AMM,STIFT,RWS,8,2.59E-08,1.90E-05,0.034616,0.090918019,0.385797371,0.011365705,0.035290417,1.41E-05,0.558020687,7.798325803,4.351627126
AMM,STIFT,RWS,16,2.37E-08,1.74E-05,0.035284,0.126341916,0.195149281,0.011365705,0.035290417,7.91E-06,0.403456634,4.837076976,1.951550795
AMM,STIFT,RWS,40,1.99E-08,1.46E-05,0.03084,0.260021269,0.080347209,0.011365705,0.035290417,3.83E-06,0.417883033,3.196692008,1.33584335
AMM,STIFT,ROS,1,9.17E-08,6.72E-05,0.26898,0,1.272554492,0.020134081,0.009977494,0.000399553,1.572112956,52.07888095,81.87388347
AMM,STIFT,ROS,2,5.17E-08,3.79E-05,0.151652,0,0.637486121,0.020134081,0.009977494,0.000208921,0.819496582,26.71959332,21.89661539
AMM,STIFT,ROS,4,3.16E-08,2.32E-05,0.092616,0,0.318743504,0.020134081,0.009977494,0.000110161,0.441604426,14.00432914,6.184373732
AMM,STIFT,ROS,8,2.59E-08,1.90E-05,0.07608,0,0.161425378,0.020134081,0.009977494,6.81E-05,0.267704145,8.082499653,2.163718656
AMM,STIFT,ROS,16,2.37E-08,1.74E-05,0.06954,0,0.083792255,0.020134081,0.009977494,4.15E-05,0.183502746,5.132759222,0.94187541
AMM,STIFT,ROS,40,1.99E-08,1.46E-05,0.058336,0,0.034501519,0.020134081,0.009977494,2.49E-05,0.122988628,3.484813443,0.428592425
AMM,PCA,RIS,1,9.25E-08,1.91E-05,0.271152,0,0.007220388,0.973666648,0.006351127,1.25E-08,1.258409352,42.76428391,53.81497481
AMM,PCA,RIS,2,5.19E-08,1.23E-05,0.152064,0,0.007220388,0.48849763,0.006351127,6.26E-09,0.654145483,21.59376284,14.12546242
AMM,PCA,RIS,4,3.14E-08,8.80E-06,0.092168,0,0.007220388,0.244248815,0.006351127,3.13E-09,0.349997166,10.94594199,3.831048679
AMM,PCA,RIS,8,2.59E-08,8.41E-06,0.075912,0,0.007220388,0.124290091,0.006351127,1.57E-09,0.213782043,5.707263368,1.220110424
AMM,PCA,RIS,16,2.31E-08,8.08E-06,0.067616,0,0.007220388,0.064021449,0.006351127,8.01E-10,0.145217068,3.087185653,0.448312048
AMM,PCA,RIS,40,1.96E-08,7.20E-06,0.057372,0,0.007220388,0.026556491,0.006351127,3.25E-10,0.097507229,1.451053711,0.141488226
AMM,PCA,RWS,1,9.17E-08,6.72E-05,0.075244,0,3.074323391,0.011365705,0.035290417,1.20E-08,3.196290862,43.08274389,137.7049806
