DPU,reduction_network,dataflow,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,IS,0.037573346508363525,6.089439999999496e-11,0.0004889994999991995,0.002671699353852723,0.01522711044229292,0.002504880808606508,0.07208139067400086,11.923550209906068,10.119807988267784,22.17390562552186
AMM,S_Tree,WS,0.3005921553183889,1.4225440000008986e-10,5.4026499999989966e-05,0.049921190702278836,0.006976070681197602,0.027573600384936527,0.07208139067400007,4.961819032102248,10.119807988273434,15.538825454778738
AMM,S_Tree,OS,0.1298802017859229,1.4225440000008986e-10,0.0004889994999991995,0.01977071196507125,0.057387284182935816,0.012542581536219514,0.07208139067399257,14.070335745899689,10.119807988267784,24.48229490395387
AMM,ST_Tree_Ac,IS,0.037573346508363525,6.089439999999496e-11,0.0004889994999991995,0.002671699353852723,0.01522711044229292,0.002504880808606508,0.03238560139259154,11.923550209906068,10.119807988267784,22.13420983624045
AMM,ST_Tree_Ac,WS,0.3005921553183889,1.4225440000008986e-10,5.4026499999989966e-05,0.049921190702278836,0.006976070681197602,0.027573600384936527,0.0323856013925919,4.961819032102248,10.119807988273434,15.49912966549733
AMM,ST_Tree_Ac,OS,0.1298802017859229,1.4225440000008986e-10,0.0004889994999991995,0.01977071196507125,0.057387284182935816,0.012542581536219514,0.03238560139258816,14.070335745899689,10.119807988267784,24.442599114672465
AMM,STIFT,IS,0.037573346508363525,6.089439999999496e-11,0.0004889994999991995,0.002671699353852723,0.01522711044229292,0.002504880808606508,0.02619569286954315,11.923550209906068,10.119807988267784,22.128019927717403
AMM,STIFT,WS,0.3005921553183889,1.4225440000008986e-10,5.4026499999989966e-05,0.049921190702278836,0.006976070681197602,0.027573600384936527,0.0261956928695429,4.961819032102248,10.119807988273434,15.49293975697428
AMM,STIFT,OS,0.1298802017859229,1.4225440000008986e-10,0.0004889994999991995,0.01977071196507125,0.057387284182935816,0.012542581536219514,0.026195692869542368,14.070335745899689,10.119807988267784,24.43640920614942
AMM,PCA,IS,0.0,6.0894400000030744e-12,0.0004889994999991995,0.002671699353852723,0.01522711044229292,0.002504880808606508,0.0,11.923550209906068,1.1668848793000066,13.111327779316916
AMM,PCA,WS,0.0,1.4225440000017006e-11,5.4026499999989966e-05,0.049921190702278836,0.006976070681197602,0.027573600384936527,0.0,4.961819032102248,1.1668848792999975,6.2132287996848845
AMM,PCA,OS,0.0,1.4225440000017006e-11,0.0004889994999991995,0.01977071196507125,0.057387284182935816,0.012542581536219514,0.0,14.070335745899689,1.1668848793000361,15.327410202398177
MAM,S_Tree,IS,0.02777814697977528,3.252479999999282e-11,0.000259506500000103,0.0026716993538521325,0.011091652934655367,0.0025048808086065087,0.05721253439272886,9.052444627095834,7.490144509839504,16.64410755793748
MAM,S_Tree,WS,0.22851692695812684,7.549280000004944e-11,3.839549999999421e-05,0.04992119070229573,0.00697607068119754,0.027573600384936527,0.0572125343927297,4.961819032097107,7.490144509842304,12.82220226063419
MAM,S_Tree,OS,0.09845734440593855,7.549280000004944e-11,0.000259506500000103,0.019770711965069628,0.040541095955557584,0.01254258153621928,0.057212534392733716,11.19923016309171,7.490144509839504,18.918158447762224
MAM,ST_Tree_Ac,IS,0.02777814697977528,3.252479999999282e-11,0.000259506500000103,0.0026716993538521325,0.011091652934655367,0.0025048808086065087,0.02839721167645218,9.052444627095834,7.490144509839504,16.615292235221204
MAM,ST_Tree_Ac,WS,0.22851692695812684,7.549280000004944e-11,3.839549999999421e-05,0.04992119070229573,0.00697607068119754,0.027573600384936527,0.02839721167645185,4.961819032097107,7.490144509842304,12.793386937917914
MAM,ST_Tree_Ac,OS,0.09845734440593855,7.549280000004944e-11,0.000259506500000103,0.019770711965069628,0.040541095955557584,0.01254258153621928,0.02839721167645186,11.19923016309171,7.490144509839504,18.889343125045944
MAM,STIFT,IS,0.02777814697977528,3.252479999999282e-11,0.000259506500000103,0.0026716993538521325,0.011091652934655367,0.0025048808086065087,0.022969610056334987,9.052444627095834,7.490144509839504,16.609864633601088
MAM,STIFT,WS,0.22851692695812684,7.549280000004944e-11,3.839549999999421e-05,0.04992119070229573,0.00697607068119754,0.027573600384936527,0.022969610056334844,4.961819032097107,7.490144509842304,12.787959336297796
MAM,STIFT,OS,0.09845734440593855,7.549280000004944e-11,0.000259506500000103,0.019770711965069628,0.040541095955557584,0.01254258153621928,0.022969610056333835,11.19923016309171,7.490144509839504,18.883915523425824
MAM,PCA,IS,0.0,3.25247999999919e-12,0.000259506500000103,0.0026716993538521325,0.011091652934655367,0.0025048808086065087,0.0,9.052444627095834,1.1668848793000084,10.23585724599621
MAM,PCA,WS,0.0,7.549280000005574e-12,3.839549999999421e-05,0.04992119070229573,0.00697607068119754,0.027573600384936527,0.0,4.961819032097107,1.1668848792999975,6.213213168673084
