DPU,reduction_network,dataflow,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,IS,1.3801678960573352e-07,3.805900000000098e-05,0.355636000000273,0.47685484221328367,0.04090769473175467,0.2414830411624211,0.026870559874942107,0.20477667805113473,1.346567013050599
AMM,S_Tree,WS,1.3801678960573352e-07,8.890900000011247e-05,0.03929199999999694,2.2829569108172483,0.412157153977246,0.06522092752524773,0.18981723712108756,0.20477667805113559,3.194309954508752
AMM,S_Tree,OS,1.3801678960573352e-07,8.890900000011247e-05,0.355636000000273,1.1107091396018616,0.19273668431517563,0.5483042098685136,0.0921156146044143,0.2047766780511436,2.5043673734581713
AMM,ST_Tree_Ac,IS,1.3801678960573352e-07,3.805900000000098e-05,0.355636000000273,0.47685484221328367,0.04090769473175467,0.2414830411624211,0.026870559874942107,0.0495192681843913,1.1913096031838555
AMM,ST_Tree_Ac,WS,1.3801678960573352e-07,8.890900000011247e-05,0.03929199999999694,2.2829569108172483,0.412157153977246,0.06522092752524773,0.18981723712108756,0.04951926818439129,3.039052544642008
AMM,ST_Tree_Ac,OS,1.3801678960573352e-07,8.890900000011247e-05,0.355636000000273,1.1107091396018616,0.19273668431517563,0.5483042098685136,0.0921156146044143,0.04951926818439432,2.349109963591422
AMM,STIFT,IS,1.3801678960573352e-07,3.805900000000098e-05,0.355636000000273,0.47685484221328367,0.04090769473175467,0.2414830411624211,0.026870559874942107,0.0495192681843913,1.1913096031838555
AMM,STIFT,WS,1.3801678960573352e-07,8.890900000011247e-05,0.03929199999999694,2.2829569108172483,0.412157153977246,0.06522092752524773,0.18981723712108756,0.04951926818439129,3.039052544642008
AMM,STIFT,OS,1.3801678960573352e-07,8.890900000011247e-05,0.355636000000273,1.1107091396018616,0.19273668431517563,0.5483042098685136,0.0921156146044143,0.04951926818439432,2.349109963591422
AMM,PCA,IS,1.3801678960573352e-07,3.8058999999962534e-06,0.355636000000273,0.0,0.04090769473175467,0.2414830411624211,0.026870559874942107,0.0,0.6649012396861804
AMM,PCA,WS,1.3801678960573352e-07,8.890900000007366e-06,0.03929199999999694,0.0,0.412157153977246,0.06522092752524773,0.18981723712108756,0.0,0.7064963475403678
AMM,PCA,OS,1.3801678960573352e-07,8.890900000007366e-06,0.355636000000273,0.0,0.19273668431517563,0.5483042098685136,0.0921156146044143,0.0,1.1888015377051662
MAM,S_Tree,IS,1.0207276112628185e-07,2.032799999999662e-05,0.18873200000010612,0.3527253055279085,0.04090769473174683,0.17475491853311245,0.026870559874942287,0.1625356090702535,0.9465465178108308
MAM,S_Tree,WS,1.0207276112628185e-07,4.7183000000020985e-05,0.02792400000000241,1.731161803782754,0.4121571539769978,0.06522092752524501,0.18981723712108756,0.1625356090702537,2.5888640165491017
MAM,S_Tree,OS,1.0207276112628185e-07,4.7183000000020985e-05,0.18873200000010612,0.8380664309913219,0.19273668431514707,0.3890735923837833,0.09211561460442276,0.1625356090702622,1.8633072164378048
MAM,ST_Tree_Ac,IS,1.0207276112628185e-07,2.032799999999662e-05,0.18873200000010612,0.3527253055279085,0.04090769473174683,0.17475491853311245,0.026870559874942287,0.04342081296093502,0.8274317217015122
MAM,ST_Tree_Ac,WS,1.0207276112628185e-07,4.7183000000020985e-05,0.02792400000000241,1.731161803782754,0.4121571539769978,0.06522092752524501,0.18981723712108756,0.04342081296093569,2.4697492204397835
MAM,ST_Tree_Ac,OS,1.0207276112628185e-07,4.7183000000020985e-05,0.18873200000010612,0.8380664309913219,0.19273668431514707,0.3890735923837833,0.09211561460442276,0.04342081296093333,1.7441924203284758
MAM,STIFT,IS,1.0207276112628185e-07,2.032799999999662e-05,0.18873200000010612,0.3527253055279085,0.04090769473174683,0.17475491853311245,0.026870559874942287,0.04342081296093502,0.8274317217015122
MAM,STIFT,WS,1.0207276112628185e-07,4.7183000000020985e-05,0.02792400000000241,1.731161803782754,0.4121571539769978,0.06522092752524501,0.18981723712108756,0.04342081296093569,2.4697492204397835
MAM,STIFT,OS,1.0207276112628185e-07,4.7183000000020985e-05,0.18873200000010612,0.8380664309913219,0.19273668431514707,0.3890735923837833,0.09211561460442276,0.04342081296093333,1.7441924203284758
MAM,PCA,IS,1.0207276112628185e-07,2.032799999999875e-06,0.18873200000010612,0.0,0.04090769473174683,0.17475491853311245,0.026870559874942287,0.0,0.43126730801266877
MAM,PCA,WS,1.0207276112628185e-07,4.718299999998217e-06,0.02792400000000241,0.0,0.4121571539769978,0.06522092752524501,0.18981723712108756,0.0,0.6951241389960939
MAM,PCA,OS,1.0207276112628185e-07,4.718299999998217e-06,0.18873200000010612,0.0,0.19273668431514707,0.3890735923837833,0.09211561460442276,0.0,0.8626627116762203
AMM,S_Tree,RIS,4.805742471866384e-07,7.958200000009202e-05,1.2383239999945408,0.06055397319820088,0.040907694731765386,7.046210342800863,0.026870559874942235,0.002019185389645416,8.414965818564205
AMM,S_Tree,RWS,4.4844396216171673e-07,0.000288882999999503,0.17529600000009268,0.39505788456154817,33.00789503924752,0.06522092752520653,0.18981723712108778,0.000977002065594013,33.83455342196501
AMM,S_Tree,ROS,4.4844396216171673e-07,0.000288882999999503,1.155531999996756,0.19448453523272702,16.04622765456991,0.19068884547570777,0.09211561460434935,0.008246479017871938,17.687584460341284
AMM,ST_Tree_Ac,RIS,4.805742471866384e-07,7.958200000009202e-05,1.2383239999945408,0.0,0.040907694731765386,7.046210342800863,0.026870559874942235,0.0003674363719754723,8.352760096348334
AMM,ST_Tree_Ac,RWS,4.4844396216171673e-07,0.000288882999999503,0.17529600000009268,0.0,33.00789503924752,0.06522092752520653,0.18981723712108778,0.0001829640714861317,33.438701499409355
