DPU,reduction_network,dataflow,cluster_count,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
AMM,S_Tree,RIS,1,0.004757539723939381,1.3015360000014245e-10,0.0017172484999918316,0.00267169935385276,0.4446844816945044,0.002504880808606498,0.0007750206118413324,300.2973813498272,41.999364291534356,342.7538565121845
AMM,S_Tree,RIS,2,0.005695283295823666,9.349760000011663e-11,0.0010434490000011461,0.0026716993538543634,0.2228545566514965,0.002504880808606498,0.0004189318536308725,151.2529308417745,24.89589019876672,176.38400984159816
AMM,S_Tree,RIS,4,0.007539392135010848,7.522880000004845e-11,0.0007037745000004643,0.0026716993538547775,0.11142727832562407,0.002504880808606498,0.0002278757672144851,76.46761525765207,16.282267496409126,92.87495765502673
AMM,S_Tree,RIS,8,0.012763328575862948,7.034560000003023e-11,0.0006022774999998666,0.0026716993538533802,0.05622595496622962,0.002504880808606498,0.00013848185088390284,39.3380477951857,13.687082794982528,53.10003721329401
AMM,S_Tree,RIS,16,0.022699204251688105,6.739840000001923e-11,0.0005380319999994883,0.002671699353853495,0.02862529328651774,0.002504880808606498,8.10832799189367e-05,20.7732640640065,11.914588356396276,32.744972613450756
AMM,S_Tree,RIS,32,0.04404003391950666,6.652160000001596e-11,0.0005227584999993983,0.002671699353853237,0.014312646643258438,0.002504880808606498,4.9476019284363276e-05,11.227781868813071,11.54794186425744,22.839825228381542
AMM,S_Tree,RWS,1,0.053457839881561435,4.662639999986817e-10,0.0002479950000001487,4.012069163857862,0.006976070681196152,0.027573600384936583,0.0003851950840093958,299.74781549904475,41.999364291534356,345.8478896559349
AMM,S_Tree,RWS,2,0.05894443687637685,2.827151999994794e-10,0.00019159250000011347,2.0062722435143328,0.006976070681197653,0.027573600384936583,0.00021193553618020747,150.62361597287412,24.895890198763496,177.61967605141336
AMM,S_Tree,RWS,4,0.0699085947357136,1.8995039999988257e-10,0.00016094100000008403,1.0031361545246664,0.006976070681197721,0.027573600384936583,0.00011675794508583628,75.87822579050822,16.28226749641136,93.26836540638114
AMM,S_Tree,RWS,8,0.10979439499536504,1.6303839999999953e-10,0.0001556060000000789,0.5018057388593272,0.006976070681197635,0.027573600384936583,7.217943755864013e-05,38.68882111848194,13.687082794982198,53.02228150398556
AMM,S_Tree,RWS,16,0.1795123187482837,1.454224000000761e-10,0.00015255350000007597,0.25114053102590794,0.00697607068119788,0.027573600384936583,4.355224931716722e-05,20.09411878249931,11.914588356393674,32.47410576562805
AMM,S_Tree,RWS,32,0.3424214071234015,1.416208000000926e-10,0.00015193200000007537,0.1255702982809407,0.006976070681197627,0.027573600384936583,2.738603792931367e-05,10.613477195309578,11.547941864263944,22.664139754223548
AMM,S_Tree,ROS,1,0.024287086332291628,4.662639999986817e-10,0.001602782499993414,1.6813732510276886,0.01990896650761516,0.012542581536178073,0.003337654320011504,302.2048063687158,41.999364291534356,345.9472229829402
AMM,S_Tree,ROS,2,0.02678029201806137,2.827151999994794e-10,0.0009718335000020429,0.8412822022346773,0.019908966507733685,0.01254258153621214,0.0016590585276180091,153.08060684288284,24.895890198763496,178.87964197625334
AMM,S_Tree,ROS,4,0.031664685279584194,1.8995039999988257e-10,0.000652954500000165,0.42064113388426577,0.019908966507726875,0.012542581536223122,0.0008253170213417137,78.33521665983783,16.28226749641136,95.10371979516827
AMM,S_Tree,ROS,8,0.047671975039303795,1.6303839999999953e-10,0.0005604444999996203,0.2109161436622059,0.019908966507727447,0.012542581536220477,0.00039651634564376477,41.14581198769276,13.687082794982198,55.12489141042909
AMM,S_Tree,ROS,16,0.07819308322512625,1.454224000000761e-10,0.0004998894999992637,0.1060536485511734,0.019908966507730667,0.012542581536217467,0.00019699318819818738,22.551109651715187,11.914588356393674,34.683093170762724
AMM,S_Tree,ROS,32,0.14728498007625215,1.416208000000926e-10,0.00048682149999920113,0.05302685704358253,0.019908966507728144,0.01254258153621836,9.087443571688271e-05,13.07046806452237,11.547941864263944,24.85175101002743
AMM,ST_Tree_Ac,RIS,1,0.0,1.3015360000014245e-10,0.0017172484999918316,0.00267169935385276,0.4446844816945044,0.002504880808606498,0.00023156790884396549,300.2973813498272,41.999364291534356,342.7485555197575
AMM,ST_Tree_Ac,RIS,2,0.005695283295823666,9.349760000011663e-11,0.0010434490000011461,0.0026716993538543634,0.2228545566514965,0.002504880808606498,0.00012016953135592799,151.2529308417745,24.89589019876672,176.38371107927588
AMM,ST_Tree_Ac,RIS,4,0.007539392135010848,7.522880000004845e-11,0.0007037745000004643,0.0026716993538547775,0.11142727832562407,0.002504880808606498,6.231689052757438e-05,76.46761525765207,16.282267496409126,92.87479209615005
AMM,ST_Tree_Ac,RIS,8,0.012763328575862948,7.034560000003023e-11,0.0006022774999998666,0.0026716993538533802,0.05622595496622962,0.002504880808606498,3.449877875365596e-05,39.3380477951857,13.687082794982528,53.09993323022188
AMM,ST_Tree_Ac,RIS,16,0.022699204251688105,6.739840000001923e-11,0.0005380319999994883,0.002671699353853495,0.02862529328651774,0.002504880808606498,1.8640078089003862e-05,20.7732640640065,11.914588356396276,32.74491017024893
AMM,ST_Tree_Ac,RIS,32,0.04404003391950666,6.652160000001596e-11,0.0005227584999993983,0.002671699353853237,0.014312646643258438,0.002504880808606498,1.032261078010558e-05,11.227781868813071,11.54794186425744,22.839786074973038
