,Reduction_Network,AMM-RIS-1,AMM-RIS-2,AMM-RIS-4,AMM-RIS-8,AMM-RIS-16,AMM-RIS-32,AMM-RWS-1,AMM-RWS-2,AMM-RWS-4,AMM-RWS-8,AMM-RWS-16,AMM-RWS-32,AMM-ROS-1,AMM-ROS-2,AMM-ROS-4,AMM-ROS-8,AMM-ROS-16,AMM-ROS-32,AMM-WS-32,AMM-OS-32,AMM-IS-32
0,S_Tree,5.187630334,2.739608103,1.516134705,0.966642559,0.754210707,0.774072951,20.19210909,10.32100301,5.427621199,3.140041935,2.248610672,2.369553991,15.23038075,7.870786672,4.223311279,2.535436233,1.881980821,1.961327345,2.019108314,2.06942454,0.859314035
1,PCA,5.157743979,2.701447777,1.461083571,0.869332907,0.572517326,0.420155498,20.00645929,10.09981598,5.142144053,2.670463953,1.435471116,0.816058453,15.15152317,7.764500656,4.060158066,2.23316647,1.317662541,0.85740338,0.382111688,0.88122295,0.420155496
2,ST_Tree_Ac,5.158057451,2.738749579,1.515680004,0.966376519,0.754053316,0.773977412,20.00654854,10.32074329,5.427479678,3.139955845,2.248559475,2.369522425,15.15233866,7.764953173,4.060413288,2.233329428,1.317776967,0.857490181,1.941291225,1.991607451,0.781496946
3,STIFT,5.158057451,2.738749579,1.515680004,0.966376519,0.754053316,0.773977412,20.00654854,10.32074329,5.427479678,3.139955845,2.248559475,2.369522425,15.15233866,7.764953173,4.060413288,2.233329428,1.317776967,0.857490181,1.941291225,1.991607451,0.781496946
