DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,PCA,RWS,2,0,3007864832,22791425,23478569.0,3054134826.0,9016216576,18050273408
AMM,PCA,RWS,4,0,1503933440,22791425,23478569.0,1550203434.0,7512285184,10196160320
AMM,PCA,RWS,8,0,755655680,22791425,23478569.0,801925674.0,6764007424,8184189632
AMM,PCA,RWS,16,0,381516800,22791425,23478569.0,427786794.0,6389868544,6750818048
AMM,PCA,RWS,32,0,190759424,22791425,23478569.0,237029418.0,6199111168,6543214400
AMM,PCA,ROS,1,0,6008351744,72227861,23478569.0,6104058174.0,12016703488,33616408640
AMM,PCA,ROS,2,0,3007864832,72227861,23478569.0,3103571262.0,12016703488,15049786496
AMM,PCA,ROS,4,0,1503933440,72227861,23478569.0,1599639870.0,12016703488,5691742016
AMM,PCA,ROS,8,0,755655680,72227861,23478569.0,851362110.0,12016703488,2931493568
AMM,PCA,ROS,16,0,381516800,72227861,23478569.0,477223230.0,12016703488,1123983104
AMM,PCA,ROS,32,0,190759424,72227861,23478569.0,286465854.0,12016703488,725622080
AMM,S_Tree,WS,32,464705910,77043968,22791425,23478569.0,588019872.0,12016703488,805714880
AMM,S_Tree,OS,32,464705910,77043968,192062016,23478569.0,757290463.0,12016703488,805714880
AMM,S_Tree,IS,32,464705910,33849088,192062016,23478569.0,714095583.0,12016703488,805714880
AMM,ST_Tree_Ac,WS,32,464705910,77043968,22791425,23478569.0,588019872.0,12016703488,805714880
AMM,ST_Tree_Ac,OS,32,464705910,77043968,192062016,23478569.0,757290463.0,12016703488,805714880
AMM,ST_Tree_Ac,IS,32,464705910,33849088,192062016,23478569.0,714095583.0,12016703488,805714880
AMM,STIFT,WS,32,464705910,77043968,22791425,23478569.0,588019872.0,12016703488,805714880
AMM,STIFT,OS,32,464705910,77043968,192062016,23478569.0,757290463.0,12016703488,805714880
AMM,STIFT,IS,32,464705910,33849088,192062016,23478569.0,714095583.0,12016703488,805714880
AMM,PCA,WS,32,0,77043968,22791425,23478569.0,123313962.0,12016703488,805714880
AMM,PCA,OS,32,0,77043968,192062016,23478569.0,292584553.0,12016703488,805714880
AMM,PCA,IS,32,0,33849088,192062016,23478569.0,249389673.0,12016703488,805714880
