,Reduction_Network,AMM-RIS-1,AMM-RIS-2,AMM-RIS-4,AMM-RIS-8,AMM-RIS-16,AMM-RIS-32,AMM-RWS-1,AMM-RWS-2,AMM-RWS-4,AMM-RWS-8,AMM-RWS-16,AMM-RWS-32,AMM-ROS-1,AMM-ROS-2,AMM-ROS-4,AMM-ROS-8,AMM-ROS-16,AMM-ROS-32,AMM-WS-32,AMM-OS-32,AMM-IS-32
0,S_Tree,8.426232279569762,4.430873483469723,2.4412423924078563,1.558036586932299,1.1986906630010472,1.231724312403326,33.8401475242807,17.341603968874878,9.150652707444689,5.327904772128874,3.799257089864156,4.005465496799513,17.699623872566068,9.24183514695865,5.036531540904177,3.1074846715322675,2.328455109697716,2.40906623080795,3.536375992723159,2.6534191482170546,1.4449612112689076
1,PCA,8.362978413072012,4.356899282387288,2.344756613659366,1.3954750929462494,0.9110180132431118,0.6739587108686746,33.443585037666246,16.90257145990667,8.626214112015056,4.499381562882512,2.4356826847697364,1.400426439776458,17.494721854657655,9.019397857197037,4.77258712493587,2.704531663113844,1.6601036686550588,1.1437333177938798,0.7123344952992461,1.174276493079173,0.6739587095027842
2,ST_Tree_Ac,8.363332448755463,4.429867081619061,2.440690303834512,1.5576959230094258,1.1984888144224588,1.2315995393388914,33.443758613028564,17.341092712739375,9.150368398658436,5.327726215684715,3.799147940701282,4.005395967761806,17.49660685598454,9.020417102457548,4.773150293375331,2.704900259806488,1.6603509578781903,1.1439084778033952,3.3619213396595726,2.478964495153449,1.2705065582053192
3,STIFT,8.363332448755463,4.429867081619061,2.440690303834512,1.5576959230094258,1.1984888144224588,1.2315995393388914,33.443758613028564,17.341092712739375,9.150368398658436,5.327726215684715,3.799147940701282,4.005395967761806,17.49660685598454,9.020417102457548,4.773150293375331,2.704900259806488,1.6603509578781903,1.1439084778033952,3.3619213396595726,2.478964495153449,1.2705065582053192
